Timestamp,instructions,L1-dcache-load-misses
     0.010749510,11406109,122787
     0.021126749,12111918,143456
     0.031310963,16886246,136926
     0.041455020,15627224,164804
     0.051600709,14788314,152712
     0.061863556,14140935,154859
     0.072033879,15231367,162328
     0.082361476,17499016,167268
     0.092528541,17183717,163075
     0.102690984,16637997,165509
     0.112845259,16855442,157346
     0.123004710,17480490,176833
     0.133159726,16517698,172658
     0.143311054,16359086,225833
     0.153484244,17489352,294652
     0.163637033,18429349,134090
     0.173798972,24697645,143183
     0.183957517,8150699,104204
     0.194135788,9824690,291213
     0.204313503,21081771,338809
     0.214489921,28532379,520951
     0.224668470,29807039,558344
     0.234840047,31122100,519271
     0.245183478,29089325,511331
     0.255460965,28299522,543207
     0.265643177,30243066,487375
     0.275814541,28989062,547016
     0.285987894,31446487,454851
     0.296168772,27015533,515815
     0.306528706,33537753,453301
     0.316861268,36022647,432112
     0.327031498,31585113,521128
     0.337211614,30393069,545678
     0.347400141,31283301,546566
     0.357575598,27523775,465195
     0.367756535,24340099,449940
     0.377954891,23413271,593671
     0.388138365,29151203,573773
     0.398318062,38377201,718161
     0.408497252,39725525,538227
     0.418666694,50790370,553537
     0.428829070,41703105,579819
     0.438998663,33539714,496027
     0.449173507,29421727,485833
     0.459371319,29743886,486132
     0.469552476,23147783,469598
     0.479912453,27827296,467815
     0.490301081,29761108,512927
     0.500723578,38614790,416049
     0.510950494,30019989,445971
     0.521115924,23737247,405172
     0.531273978,21357476,464675
     0.541420650,21525565,458165
     0.551613728,19824646,481743
     0.561788155,19903539,493022
     0.571957537,19207964,500043
     0.582393331,21651252,504979
     0.592565875,21434313,411618
     0.602740837,20366433,450720
     0.612900710,18880811,506277
     0.623225534,24825245,447343
     0.633383786,33147721,333978
     0.643572738,41262433,369015
     0.653755371,37953925,537942
     0.663926889,47938818,454077
     0.674133898,39244971,616188
     0.684474049,34135704,599636
     0.694653239,48168485,481454
     0.704856530,43841910,639632
     0.715029851,37616663,544931
     0.725198779,51211139,433955
     0.735362367,33164269,544412
     0.745532069,34483844,579642
     0.755694627,37738348,543448
     0.765849161,34841965,560327
     0.776000640,33495645,580856
     0.786263523,29881194,551295
     0.796555609,35568034,531142
     0.806735463,33547617,525301
     0.816912964,31969374,556438
     0.827088170,36977597,482467
     0.837265408,37206210,497994
     0.847447932,33580459,503989
     0.857622392,43413434,498569
     0.867804658,41513804,558322
     0.877983733,39431861,456133
     0.888157939,39682649,498313
     0.898322082,40701803,528961
     0.908505203,39861228,443515
     0.918678961,43102607,422243
     0.928863169,33766037,446387
     0.939043441,44536112,403401
     0.949218733,40390343,368639
     0.959404355,26383022,418968
     0.969587247,36571054,406148
     0.979764635,38051972,360110
     0.989943214,41751691,351794
     1.000132154,32640750,422498
     1.010373519,30831782,384957
     1.020544796,21090727,173138
     1.030704154,14550303,256771
     1.040920803,7771745,111615
     1.051119731,<not counted>,<not counted>
     1.061269541,<not counted>,<not counted>
     1.071520317,<not counted>,<not counted>
     1.081771607,<not counted>,<not counted>
     1.091972792,<not counted>,<not counted>
     1.102156495,<not counted>,<not counted>
     1.112352809,60137,2228
     1.122546618,<not counted>,<not counted>
     1.132793964,<not counted>,<not counted>
     1.142999163,<not counted>,<not counted>
     1.153295167,113851,3533
     1.163560858,<not counted>,<not counted>
     1.173820115,<not counted>,<not counted>
     1.184078032,115119,4384
     1.194284071,<not counted>,<not counted>
     1.204488186,65125,2925
     1.214692705,<not counted>,<not counted>
     1.224937710,<not counted>,<not counted>
     1.235191652,<not counted>,<not counted>
     1.245443918,<not counted>,<not counted>
     1.255703025,<not counted>,<not counted>
     1.265962392,<not counted>,<not counted>
     1.276149595,<not counted>,<not counted>
     1.286366540,<not counted>,<not counted>
     1.296632272,<not counted>,<not counted>
     1.306835756,60150,2056
     1.317059071,<not counted>,<not counted>
     1.327324038,<not counted>,<not counted>
     1.337550329,<not counted>,<not counted>
     1.347731003,<not counted>,<not counted>
     1.357963195,<not counted>,<not counted>
     1.368209463,<not counted>,<not counted>
     1.378433219,<not counted>,<not counted>
     1.388686325,<not counted>,<not counted>
     1.398946721,<not counted>,<not counted>
     1.409139930,60973,2063
     1.419352910,<not counted>,<not counted>
     1.429551458,<not counted>,<not counted>
     1.439760460,8880757,98859
     1.450000709,103659,3305
     1.460263826,3676545,51043
     1.470459717,5298314,54623
     1.480680036,<not counted>,<not counted>
     1.490882285,<not counted>,<not counted>
     1.501121495,<not counted>,<not counted>
     1.511375447,<not counted>,<not counted>
     1.521590130,<not counted>,<not counted>
     1.531786986,60115,2057
     1.542040488,<not counted>,<not counted>
     1.552284737,<not counted>,<not counted>
     1.562464258,<not counted>,<not counted>
     1.572695994,<not counted>,<not counted>
     1.582891500,<not counted>,<not counted>
     1.593074854,<not counted>,<not counted>
     1.603330671,1252805,29146
     1.613556043,2457663,54686
     1.623775353,<not counted>,<not counted>
     1.634002006,<not counted>,<not counted>
     1.644359719,<not counted>,<not counted>
     1.655928447,<not counted>,<not counted>
     1.666195160,60157,2096
     1.676467357,<not counted>,<not counted>
     1.686715653,<not counted>,<not counted>
     1.696939708,<not counted>,<not counted>
     1.707165403,<not counted>,<not counted>
     1.717415989,<not counted>,<not counted>
     1.727638570,<not counted>,<not counted>
     1.737880126,<not counted>,<not counted>
     1.748135457,<not counted>,<not counted>
     1.758375470,8372413,113283
     1.768602490,161498,3528
     1.778824830,<not counted>,<not counted>
     1.789069139,<not counted>,<not counted>
     1.799326401,<not counted>,<not counted>
     1.809604053,60311,2116
     1.819876095,<not counted>,<not counted>
     1.830119976,<not counted>,<not counted>
     1.840368127,<not counted>,<not counted>
     1.850528929,<not counted>,<not counted>
     1.860779241,<not counted>,<not counted>
     1.871034068,<not counted>,<not counted>
     1.881290514,<not counted>,<not counted>
     1.891490650,<not counted>,<not counted>
     1.901737049,84635,3189
     1.911970725,<not counted>,<not counted>
     1.922205526,<not counted>,<not counted>
     1.932408539,<not counted>,<not counted>
     1.942704237,3337154,55990
     1.952962333,410511,6028
     1.963244398,60118,2068
     1.973509868,<not counted>,<not counted>
     1.983762420,<not counted>,<not counted>
     1.994022582,<not counted>,<not counted>
     2.004322926,<not counted>,<not counted>
     2.014522774,<not counted>,<not counted>
     2.024775540,<not counted>,<not counted>
     2.035128717,<not counted>,<not counted>
     2.045384173,<not counted>,<not counted>
     2.055645184,<not counted>,<not counted>
     2.065903606,<not counted>,<not counted>
     2.076430919,22630,906
     2.086636771,8295837,110252
     2.096861425,153827,3584
     2.107115697,<not counted>,<not counted>
     2.117368671,<not counted>,<not counted>
     2.127572933,<not counted>,<not counted>
     2.137814311,60394,2224
     2.148025626,<not counted>,<not counted>
     2.158220181,<not counted>,<not counted>
     2.168442455,<not counted>,<not counted>
     2.178625180,<not counted>,<not counted>
     2.188842599,8711113,92017
     2.199090155,90845,3561
     2.209344306,<not counted>,<not counted>
     2.219598841,<not counted>,<not counted>
     2.229855117,95594,4253
     2.240116399,<not counted>,<not counted>
     2.250329945,<not counted>,<not counted>
     2.260572691,<not counted>,<not counted>
     2.270763375,<not counted>,<not counted>
     2.281059457,<not counted>,<not counted>
     2.291316790,<not counted>,<not counted>
     2.301576961,<not counted>,<not counted>
     2.311834713,<not counted>,<not counted>
     2.322131425,<not counted>,<not counted>
     2.332400708,61074,2096
     2.342605872,<not counted>,<not counted>
     2.352850898,4082027,58171
     2.363075457,21044807,174874
     2.373244175,23843378,212669
     2.383408280,32852055,83784
     2.393551944,30944380,51570
     2.403698034,30318934,39880
     2.413850918,26949937,97089
     2.424007395,24973343,190141
     2.434149645,27738890,168440
     2.444311659,28711519,181582
     2.454446769,22444289,224269
     2.464654467,22955958,228876
     2.474809350,23151815,224842
     2.484961990,23173737,222944
     2.495107177,19097968,157275
     2.505263631,22133956,187510
     2.515423553,28470954,299881
     2.525592936,21960423,263370
     2.535772846,22518367,428383
     2.545956159,8287851,356032
     2.556124504,21247283,157805
     2.566281110,25241502,84390
     2.576451943,25262139,107986
     2.586626000,23372075,168935
     2.596802957,16927324,176751
     2.606977023,15261612,152526
     2.617168193,24023239,167353
     2.627334428,23922418,168554
     2.637497026,23865514,169775
     2.647660914,27799984,152842
     2.657811965,28152581,156801
     2.667974481,28477294,168179
     2.678171042,26986456,160841
     2.688366079,23986752,123971
     2.698527658,28098608,160392
     2.708682436,25861225,158245
     2.718843651,27891975,155659
     2.728999966,29575506,140470
     2.739136330,29407131,142634
     2.749286176,25917927,180295
     2.759919009,17936754,150465
     2.770105689,19817779,140864
     2.780271527,15056125,155698
     2.790438978,24847298,129894
     2.800613163,27633036,123168
     2.810783134,30965941,171040
     2.820963079,50834192,318387
     2.831132107,50569712,343212
     2.841302140,63408642,180611
     2.851467548,56326303,199361
     2.861658780,49840636,271199
     2.871837927,51326380,217938
     2.882060551,42961529,328146
     2.892262221,57383059,269024
     2.902429232,55915437,317384
     2.912592294,52661795,356702
     2.922754825,51559887,366547
     2.932914078,47876855,369312
     2.943080690,43934991,445934
     2.953269742,44593718,362337
     2.963446583,51592990,282779
     2.973603872,47404745,328102
     2.983780817,36862621,399701
     2.993959426,50806676,461398
     3.004141651,47613927,484024
     3.014311620,34313922,527487
     3.024478477,50146687,281335
     3.034636560,52590700,241996
     3.044804341,53093898,271560
     3.054973794,51283945,324904
     3.065138239,48246905,363571
     3.075300673,36832720,469863
     3.085481537,45057427,296966
     3.095657442,43529542,293159
     3.105842009,53434330,283915
     3.116006983,56212356,242747
     3.126169562,56480182,232116
     3.136330661,56051540,241726
     3.146492942,55630971,232192
     3.156656910,55721513,265902
     3.166819434,52864348,244083
     3.176993517,51449524,279558
     3.187238067,45348695,235415
     3.197555190,40799115,269393
     3.207726654,55837152,221087
     3.217890892,51840569,286273
     3.228061696,54428745,238812
     3.238236521,35406087,412892
     3.248407666,55285648,251061
     3.258566143,55178202,254323
     3.268722023,55159082,250122
     3.278878336,51331860,264453
     3.289169826,54757281,259460
     3.299367894,41430829,244171
     3.309611876,51314419,272090
     3.319778399,54315271,272084
     3.329945314,48076605,356917
     3.340111638,55103917,246055
     3.350278977,52461307,253251
     3.360462552,39972559,315034
     3.370647887,40968039,418056
     3.380828213,53936579,249521
     3.390992569,54401205,261829
     3.401155599,46429565,251774
     3.411328202,44441092,379418
     3.421496755,56503541,257422
     3.431652390,55850019,264391
     3.441807469,56027444,262229
     3.451966324,55235787,268776
     3.462129844,55277702,265791
     3.472299325,55769283,272594
     3.482459123,52818022,279558
     3.492628347,55102297,283748
     3.502800810,36566294,351004
     3.512983227,35591083,574222
     3.523150998,53260873,276499
     3.533316221,53682057,267769
     3.543487909,49481250,306456
     3.553659510,44405463,431083
     3.563823679,55247272,262503
     3.573984031,55640767,263345
     3.584135044,50447773,275869
     3.594297120,54692744,267678
     3.604465420,48921054,263497
     3.614639000,53486262,266739
     3.624804673,55748166,257690
     3.634988548,53039514,280964
     3.645159592,55251953,269530
