Timestamp,instructions,L1-dcache-load-misses
     1.000132384,3548077071,73613751
     2.000555900,2134950689,40169533
     3.000735819,1732600272,12741014
     4.000925661,5176078483,59503705
     5.001255710,5144099729,76902111
     6.001605819,5245840070,76551868
     7.001971329,4797637024,57822355
     8.002361727,4057953341,54403982
     9.002708035,3728370343,66952073
    10.003072327,4253146731,80600686
    11.003435385,4842642473,78138166
    12.003793765,4849455085,76858251
    13.004156241,4885711625,78125448
    14.004517349,4930711117,77666359
    15.004898423,4820789851,76609379
    16.005236608,4910212370,77631326
    17.005595240,4896429870,77560941
    18.006185905,4885830137,78284026
    19.006556869,4859655956,76202704
    20.007051705,4893435894,76618081
    21.007381453,4870803009,77655797
    22.007769827,4467227737,70300144
    23.008304874,3473311079,55207434
    24.011270084,3342323863,53925225
    25.011643359,4653674156,73711533
    26.012139634,4311291264,66905621
    27.012521382,4475004349,72871460
    28.013125058,4821506223,79900704
    29.013516269,4824903798,80660157
    30.013906124,4736031758,80366358
    31.014263779,4890330126,78269530
    32.014670702,4891360836,79510739
    33.015252242,4799865638,76659715
    34.015583291,4217820565,65917143
    35.015960977,4784762370,78178044
    36.016348305,4885939074,78068100
    37.016731237,4954421856,77147173
    38.017459300,4888444119,79288625
    39.017856893,4664955566,73626627
    40.018244021,4907482084,79161168
    41.018578975,4862580629,77376900
    42.019091722,4788793007,76595463
    43.019799737,4923062090,77291880
    44.020188591,4836344713,75361960
    45.020539717,4722618932,76872770
    46.020922072,4921672707,79101767
    47.021383755,5017907929,77119699
    48.022059133,4804306943,78617664
    49.022401397,4837585596,76496783
    50.022752684,4676931142,82062977
    51.023162464,3994070086,82446752
    52.023536892,3308100336,80150993
    53.023914245,2307017174,23884373
    54.024087020,4555046032,38069098
    55.024285318,5246532037,77157765
    56.024621590,5202872050,75694034
    57.024981569,5038135801,63304644
    58.025343157,4224784324,58612052
    59.025740845,3961059206,64375899
    60.026268927,4102766126,74573711
    61.026696035,4689555012,80776459
    62.027069598,4868892258,76903757
    63.027472974,4787037734,78148050
    64.027850122,4802254977,78899835
    65.028229408,4829419533,77986905
    66.028587761,4885399873,78743602
    67.028947558,4912916404,76975684
    68.029305730,4880041907,77938542
    69.029676391,4850352886,78287859
    70.030049149,4874110356,76776677
    71.030444870,4890103871,78087471
    72.031068839,4862681467,77768617
    73.031440074,4844806946,77467120
    74.031808482,4839391647,77094129
    75.032192608,4772090011,76885392
    76.032527076,4823509841,80218296
    77.032898868,4839451085,77911792
    78.033258612,4821327851,79394804
    79.033906385,4829128026,79538020
    80.034292102,4853379383,79087383
    81.034648171,4882157150,78985490
    82.035035633,4800163462,76528233
    83.035444196,4772917245,77984831
    84.036021063,4850857355,78367356
    85.036434177,4791797211,78288683
    86.036822759,4901048364,77393986
    87.037203023,4871256979,78289506
    88.037533332,4850136956,78950546
    89.038157595,4833707525,77063692
    90.038554050,4739918816,76784474
    91.039016372,4845520898,76127650
    92.039378592,4910337803,77648019
    93.039742733,4871645333,78562635
    94.040418590,4833196876,77835132
    95.040805448,4854330036,76019232
    96.041171889,4898096227,78759890
    97.041558656,4837553705,77440860
    98.041950163,4865458739,75887992
    99.042560019,4272493336,68359894
   100.043097053,3945158164,69294770
   100.718412604,875832608,30743510
