Timestamp,instructions,L1-dcache-load-misses
     0.010125585,10020955,220389
     0.020323660,11918378,141944
     0.030513264,8979980,230603
     0.040683789,16443094,171229
     0.050847732,14913223,146183
     0.061008550,14372740,152482
     0.071171121,15054323,151373
     0.081310472,15365468,169000
     0.091471910,16978098,162740
     0.101617484,17428835,167292
     0.111774748,17233814,164519
     0.121935186,16785580,170201
     0.132095843,16637879,173779
     0.142252712,16537809,171602
     0.152397524,18214569,314122
     0.162568941,18841979,195008
     0.172738847,22474536,131477
     0.182878938,23468404,151893
     0.193052632,8580633,304048
     0.203231372,11987634,235334
     0.213840794,28055912,485450
     0.224126176,31560216,747290
     0.234412521,39492681,930693
     0.244705586,37948117,871279
     0.254993018,37404982,910007
     0.265503377,37317701,941117
     0.276120546,37443865,949744
     0.286422973,40584162,976727
     0.296731101,37176194,867849
     0.307018853,35658759,954274
     0.317509526,41108556,950458
     0.327815309,37120707,926228
     0.338103941,39146097,872172
     0.348431474,38318722,897959
     0.358726638,41976352,875071
     0.369045984,39572600,916729
     0.379653099,44496626,805753
     0.389949350,40602195,864768
     0.400245370,43963684,830325
     0.410547094,39834212,950985
     0.420886388,29622201,670959
     0.432143058,34195061,772853
     0.442448019,37746034,867971
     0.452761215,39430988,912825
     0.463067083,41354424,1039748
     0.473372295,39104491,940365
     0.483866260,42327972,997732
     0.494118445,36988067,1011665
     0.504421302,41552969,1024625
     0.514721548,46693930,1042412
     0.525076197,44631476,1026669
     0.535503646,45531786,993002
     0.545770289,50897152,1058392
     0.556058426,47022808,930614
     0.566335532,45999863,1102961
     0.576635210,44536777,1014974
     0.586921765,41070534,969777
     0.603391237,62321279,1355323
     0.613629151,36052115,949786
     0.623926349,32123267,750288
     0.634300670,43195355,891576
     0.644580295,35610629,881553
     0.654870269,39500764,961404
     0.665446795,40929605,862096
     0.675736391,36029420,933914
     0.686021997,53835332,943939
     0.702701363,70171720,1303182
     0.712894301,41394424,733221
     0.723382227,40801788,941282
     0.734708687,42163387,892670
     0.745062167,32407860,878657
     0.755947939,34929901,827204
     0.766215949,34867421,1021068
     0.776514532,35097005,982234
     0.786809148,39790739,960443
     0.797081021,45662389,878148
     0.807525567,41541972,775740
     0.817818754,46803844,926022
     0.828113907,41364097,903199
     0.838406587,48920552,721342
     0.848745614,52649688,698165
     0.859035199,57956425,644362
     0.869358252,40393221,643886
