Timestamp,instructions,cycles
     0.100135208,151664923,129066634
     0.200437036,173759451,148488379
     0.300793067,360564367,490898813
     0.400992616,388643810,502259406
     0.501301498,366058548,470081148
     0.602998120,426334821,509756727
     0.704602071,411078648,512027034
     0.804923017,398312799,506530832
     0.906563069,471173410,512589929
     1.006986204,439819715,508216960
     1.107283205,345815120,470510454
     1.208082398,398115644,506735758
     1.308413174,451780923,507708884
     1.410004589,462298926,497399584
     1.510560732,339140913,331023280
     1.610732851,59006698,43366477
     1.710993076,60295,201965
     1.811214060,674800,2128903
     1.911452209,707317,1472575
     2.011725348,60154,179831
     2.111973443,<not counted>,<not counted>
     2.212208416,26281390,18433184
     2.312446450,8732138,6250279
     2.412667915,60221,191161
     2.512934429,<not counted>,<not counted>
     2.613195225,812945,2726013
     2.713433209,<not counted>,<not counted>
     2.813609276,60124,197951
     2.913872798,<not counted>,<not counted>
     3.014081532,<not counted>,<not counted>
     3.114658036,60804,201864
     3.214877786,<not counted>,<not counted>
     3.315115330,<not counted>,<not counted>
     3.415287213,12171364,11602322
     3.515450902,<not counted>,<not counted>
     3.615705908,84117,292532
     3.715972318,60303,460970
     3.816227923,<not counted>,<not counted>
     3.916453157,8764937,6659266
     4.016679755,6222463,7343215
     4.116948782,9891373,9583297
     4.217176032,5952423,7605562
     4.317431491,84241,227943
     4.417703447,12181060,10963025
     4.517932175,5240352,7250976
     4.618115242,13015892,10411292
     4.718535013,231880729,118912958
     4.818693795,382812889,231354696
     4.918887012,450336333,256725557
     5.019075442,541211287,496161608
     5.119629858,557794583,504960756
     5.221235626,515034185,513820414
     5.322843071,482585773,481057894
     5.424856741,572831423,512325156
     5.526529010,537250113,504010406
     5.628120013,540151781,510580956
     5.729262372,533249883,508699452
     5.830936149,540999461,512720385
     5.931231141,505387080,481764094
     6.032916422,526265244,516559081
     6.134675071,540839626,512642121
     6.235005562,538324091,509715584
     6.335275838,517036354,501426235
     6.436288772,517218273,495404757
