Timestamp,instructions,cycles
     0.010142556,9596603,12834153
     0.020300035,29278744,25719770
     0.030432142,31045729,26030318
     0.040563127,33882263,26155611
     0.050699105,30937994,26223462
     0.060830982,37764957,26150215
     0.070965519,32681281,26219310
     0.081100525,35342251,26100232
     0.091233798,29186242,25891395
     0.101366248,44065429,26089006
     0.111497710,38898054,25038648
     0.121630154,32374346,25928431
     0.131785642,28141089,26216127
     0.141922799,37879538,26212870
     0.152049715,35529790,23888105
     0.162187123,30824248,25814329
     0.172313821,30804308,26087215
     0.182452408,38248200,26123375
     0.192584048,48410791,26105431
     0.202720526,41785092,26161967
     0.212835311,36277030,24113167
     0.222969607,48770625,24194144
     0.233095875,37416854,26200647
     0.243218904,35284808,26196324
     0.253336101,40361599,26046028
     0.263453760,32808537,25979436
     0.273581959,33335211,26195163
     0.283721278,39759613,26231692
     0.293854489,37666124,26101676
     0.303988522,46823738,26217589
     0.314114093,36836634,25416134
     0.324247546,35600998,26151538
     0.334405127,41038756,26273744
     0.344540702,45878408,26098883
     0.354675805,41380880,26209704
     0.364812285,40094406,26158482
     0.374968294,15145464,13802224
     0.385173510,<not counted>,<not counted>
     0.395358294,<not counted>,<not counted>
     0.405591706,<not counted>,<not counted>
     0.415835216,<not counted>,<not counted>
     0.426057963,<not counted>,<not counted>
     0.436230890,<not counted>,<not counted>
     0.446465516,<not counted>,<not counted>
     0.456702632,<not counted>,<not counted>
     0.466934748,<not counted>,<not counted>
     0.477175784,<not counted>,<not counted>
     0.487385752,<not counted>,<not counted>
     0.497580828,<not counted>,<not counted>
     0.507820482,<not counted>,<not counted>
     0.518011199,127084,356681
     0.528262731,<not counted>,<not counted>
     0.538508988,<not counted>,<not counted>
     0.548755884,<not counted>,<not counted>
     0.558998492,<not counted>,<not counted>
     0.569245565,<not counted>,<not counted>
     0.579488618,<not counted>,<not counted>
     0.589734021,<not counted>,<not counted>
     0.600001487,<not counted>,<not counted>
     0.610321774,<not counted>,<not counted>
     0.620572285,<not counted>,<not counted>
     0.630776680,<not counted>,<not counted>
     0.640960043,<not counted>,<not counted>
     0.651124550,<not counted>,<not counted>
     0.661293207,<not counted>,<not counted>
     0.671479190,<not counted>,<not counted>
     0.681645573,<not counted>,<not counted>
     0.691812015,<not counted>,<not counted>
     0.701961946,<not counted>,<not counted>
     0.712125478,<not counted>,<not counted>
     0.722304167,<not counted>,<not counted>
     0.732470279,<not counted>,<not counted>
     0.742636271,<not counted>,<not counted>
     0.752802318,<not counted>,<not counted>
     0.762965855,<not counted>,<not counted>
     0.773132202,<not counted>,<not counted>
     0.783297780,<not counted>,<not counted>
     0.793463857,<not counted>,<not counted>
     0.803630694,<not counted>,<not counted>
     0.813796637,<not counted>,<not counted>
     0.823943890,5741904,3912435
     0.834054676,2730453,2193950
     0.844207836,98213,314364
     0.854465090,<not counted>,<not counted>
     0.864706898,<not counted>,<not counted>
     0.874952083,<not counted>,<not counted>
     0.885191510,<not counted>,<not counted>
     0.895435955,<not counted>,<not counted>
     0.905664525,<not counted>,<not counted>
     0.915887870,<not counted>,<not counted>
     0.926121973,<not counted>,<not counted>
     0.936395100,<not counted>,<not counted>
     0.946649477,<not counted>,<not counted>
     0.956864561,<not counted>,<not counted>
     0.967107248,<not counted>,<not counted>
     0.977356044,<not counted>,<not counted>
     0.987600086,<not counted>,<not counted>
     0.997848902,<not counted>,<not counted>
     1.008119575,<not counted>,<not counted>
     1.018367139,<not counted>,<not counted>
     1.028561338,<not counted>,<not counted>
     1.038804975,<not counted>,<not counted>
     1.048992624,<not counted>,<not counted>
     1.059234410,<not counted>,<not counted>
     1.069484798,<not counted>,<not counted>
     1.079728409,<not counted>,<not counted>
     1.090004687,<not counted>,<not counted>
     1.100188036,<not counted>,<not counted>
     1.110443268,<not counted>,<not counted>
     1.120689065,<not counted>,<not counted>
     1.130894705,<not counted>,<not counted>
     1.141139111,<not counted>,<not counted>
     1.151307169,<not counted>,<not counted>
     1.161454720,<not counted>,<not counted>
     1.171549001,<not counted>,<not counted>
     1.181642522,<not counted>,<not counted>
     1.191733931,<not counted>,<not counted>
     1.201824580,<not counted>,<not counted>
     1.212033992,<not counted>,<not counted>
     1.222294659,<not counted>,<not counted>
     1.232534520,<not counted>,<not counted>
     1.242783437,<not counted>,<not counted>
     1.252971933,<not counted>,<not counted>
     1.263208456,<not counted>,<not counted>
     1.273453604,<not counted>,<not counted>
     1.283690055,<not counted>,<not counted>
     1.293939187,<not counted>,<not counted>
     1.304188379,<not counted>,<not counted>
     1.314435281,<not counted>,<not counted>
     1.324687593,<not counted>,<not counted>
     1.334931915,<not counted>,<not counted>
     1.345175931,<not counted>,<not counted>
     1.355422363,<not counted>,<not counted>
     1.365668665,<not counted>,<not counted>
     1.375918612,<not counted>,<not counted>
     1.386170614,<not counted>,<not counted>
     1.396421341,<not counted>,<not counted>
     1.406669673,<not counted>,<not counted>
     1.416916354,<not counted>,<not counted>
     1.427162156,<not counted>,<not counted>
     1.437407653,<not counted>,<not counted>
     1.447655265,<not counted>,<not counted>
     1.457902822,<not counted>,<not counted>
     1.468151039,<not counted>,<not counted>
     1.478399481,<not counted>,<not counted>
     1.488646092,<not counted>,<not counted>
     1.498898025,<not counted>,<not counted>
     1.509149137,<not counted>,<not counted>
     1.519401249,<not counted>,<not counted>
     1.529649895,<not counted>,<not counted>
     1.539910163,<not counted>,<not counted>
     1.550145049,<not counted>,<not counted>
     1.560390071,<not counted>,<not counted>
     1.570596086,<not counted>,<not counted>
     1.580813435,<not counted>,<not counted>
     1.591038327,<not counted>,<not counted>
     1.601304202,<not counted>,<not counted>
     1.611481996,3616612,3454251
     1.621660454,8047566,6675119
     1.631886929,137974,355043
     1.642108608,<not counted>,<not counted>
     1.652273100,<not counted>,<not counted>
     1.662418602,<not counted>,<not counted>
     1.672604600,<not counted>,<not counted>
     1.682833855,<not counted>,<not counted>
     1.693068317,<not counted>,<not counted>
     1.703318706,<not counted>,<not counted>
     1.713546572,<not counted>,<not counted>
     1.723811228,<not counted>,<not counted>
     1.734026478,<not counted>,<not counted>
     1.744229842,<not counted>,<not counted>
     1.754469649,<not counted>,<not counted>
     1.764718881,85413,238458
     1.774942332,<not counted>,<not counted>
     1.785170741,<not counted>,<not counted>
     1.795374470,<not counted>,<not counted>
     1.805589753,<not counted>,<not counted>
     1.815853475,<not counted>,<not counted>
     1.826090116,<not counted>,<not counted>
     1.836340713,<not counted>,<not counted>
     1.846590965,<not counted>,<not counted>
     1.856841542,<not counted>,<not counted>
     1.867090629,<not counted>,<not counted>
     1.877338161,<not counted>,<not counted>
     1.887566415,<not counted>,<not counted>
     1.897776078,<not counted>,<not counted>
     1.907991232,<not counted>,<not counted>
     1.918207006,<not counted>,<not counted>
     1.928389793,<not counted>,<not counted>
     1.938623470,<not counted>,<not counted>
     1.948866228,<not counted>,<not counted>
     1.959116060,<not counted>,<not counted>
     1.969361317,<not counted>,<not counted>
     1.979612514,<not counted>,<not counted>
     1.989862066,<not counted>,<not counted>
     2.000094256,<not counted>,<not counted>
     2.010303020,<not counted>,<not counted>
     2.020524376,<not counted>,<not counted>
     2.030758760,<not counted>,<not counted>
     2.041021472,<not counted>,<not counted>
     2.051261121,<not counted>,<not counted>
     2.061501789,<not counted>,<not counted>
     2.071741073,<not counted>,<not counted>
     2.082035490,<not counted>,<not counted>
     2.092283339,<not counted>,<not counted>
     2.102532364,<not counted>,<not counted>
     2.112745867,8194905,5473025
     2.122941282,185834,603217
     2.133166104,<not counted>,<not counted>
     2.143330370,<not counted>,<not counted>
     2.153583523,<not counted>,<not counted>
     2.163825549,<not counted>,<not counted>
     2.174077355,<not counted>,<not counted>
     2.184322975,<not counted>,<not counted>
     2.194514432,<not counted>,<not counted>
     2.204759198,<not counted>,<not counted>
     2.214981385,<not counted>,<not counted>
     2.225215661,<not counted>,<not counted>
     2.235448002,<not counted>,<not counted>
     2.245691744,<not counted>,<not counted>
     2.255930431,<not counted>,<not counted>
     2.266177225,<not counted>,<not counted>
     2.276423105,<not counted>,<not counted>
     2.286668629,<not counted>,<not counted>
     2.296858406,<not counted>,<not counted>
     2.307096069,<not counted>,<not counted>
