Timestamp,instructions,LLC-load-misses
     0.010126682,9992015,8078
     0.020352040,10983698,8182
     0.030583602,9429241,6588
     0.040726699,16937252,7170
     0.050877862,14807030,7543
     0.061036919,15062497,6052
     0.071178472,14726237,5913
     0.081321803,16364664,6583
     0.091492596,15671874,8612
     0.101664325,17833422,3700
     0.111814085,16989843,5105
     0.121964730,17594929,6368
     0.132120925,16716233,6467
     0.142278794,15934296,6329
     0.152437564,18074271,34758
     0.162726395,18026186,34016
     0.172873070,23469120,19262
     0.183005868,17386467,19882
     0.193173507,12476131,43282
     0.203328712,15473806,53842
     0.213507554,27291737,62970
     0.223774596,29509684,37349
     0.233948717,28374823,41170
     0.244125003,30927105,54115
     0.254305956,29106762,68006
     0.264482759,27240506,45872
     0.274770427,25764150,53006
     0.285056968,29268353,56884
     0.295222436,30607892,60734
     0.305399453,28373042,78241
     0.315568534,35862376,39231
     0.325748663,34486839,39067
     0.335925707,27620220,54893
     0.346412164,27977282,60292
     0.356587000,33468639,61859
     0.366878437,34729970,59016
     0.377047211,25806954,94681
     0.387224201,28692333,50921
     0.397411142,37554175,31376
     0.407576518,36376882,32757
     0.417749183,50967339,5030
     0.427913453,42999785,25829
     0.438085230,30824021,45239
     0.448253548,28229914,47946
     0.458433457,31088047,67890
     0.468628714,29185396,64467
     0.478799718,29618924,105076
     0.488966884,36507961,36227
     0.499129066,37036299,33821
     0.509302495,36593127,49211
     0.519470517,30815360,63062
     0.529649471,30349203,60661
     0.539825050,28062907,61977
     0.550114497,22943152,49957
     0.560410004,22958708,84210
     0.570731701,34339893,83181
     0.580907349,34481474,30362
     0.591079474,34848124,38373
     0.601258854,48579361,23470
     0.611424151,50358859,25094
     0.621603296,40451411,35702
     0.631787629,36492304,66695
     0.641974907,38691455,44191
     0.652150060,34606102,29230
     0.662320339,56948759,9856
     0.672491764,46288164,26971
     0.682765422,38387238,27057
     0.693035686,37742505,9465
     0.703200652,28530970,12681
     0.713359370,30910960,10090
     0.723534232,34643879,10234
     0.733697955,38386792,9056
     0.743855142,34701810,7983
     0.754029671,25367328,33407
     0.764324013,27587085,55525
     0.774779216,34681954,84509
     0.784962200,37598433,63549
     0.795141548,37008445,45897
     0.805316870,35237156,74973
     0.815484999,33876471,54831
     0.825662144,41118063,40714
     0.835833035,45392762,21148
     0.846002844,42402326,33925
     0.856176546,37634260,47088
     0.866437947,36769382,53635
     0.876755051,25422550,49632
     0.886931171,34506626,65021
     0.897110676,40050029,55625
     0.907294508,39156569,51726
     0.917472466,40056475,48313
     0.927646374,44609738,39575
     0.937820500,36840944,77808
     0.948001765,35443525,77122
     0.958194669,36388589,54170
     0.968381214,33826497,54540
     0.978813440,32781739,88345
     0.989070517,15692141,59081
     0.999260638,7016318,13184
     1.009434248,<not counted>,<not counted>
     1.019632082,<not counted>,<not counted>
     1.029867318,<not counted>,<not counted>
     1.040073552,63455,1234
     1.050322611,<not counted>,<not counted>
     1.060533717,<not counted>,<not counted>
     1.070727538,<not counted>,<not counted>
     1.080956092,<not counted>,<not counted>
     1.091197442,<not counted>,<not counted>
     1.101454640,<not counted>,<not counted>
     1.111706585,<not counted>,<not counted>
     1.121893139,181933,3671
     1.132135565,<not counted>,<not counted>
     1.142348795,138585,2724
     1.152569770,<not counted>,<not counted>
     1.162973838,<not counted>,<not counted>
     1.173190978,<not counted>,<not counted>
     1.183357207,<not counted>,<not counted>
     1.193569372,<not counted>,<not counted>
     1.203799088,<not counted>,<not counted>
     1.214047664,59992,987
     1.224231780,<not counted>,<not counted>
     1.234426604,<not counted>,<not counted>
     1.244660334,<not counted>,<not counted>
     1.254953408,<not counted>,<not counted>
     1.265191788,<not counted>,<not counted>
     1.275379657,<not counted>,<not counted>
     1.285607456,<not counted>,<not counted>
     1.295796271,<not counted>,<not counted>
     1.306029286,60124,1030
     1.316279267,<not counted>,<not counted>
     1.326459862,<not counted>,<not counted>
     1.337023581,<not counted>,<not counted>
     1.347230436,<not counted>,<not counted>
