Timestamp,instructions,LLC-load-misses
     0.100119610,147994637,146961
     0.200371931,180473454,154576
     0.300532759,169977301,206091
     0.400695308,189207516,155903
     0.500851588,177480078,91861
     0.600996077,170268837,199261
     0.701165078,195240747,138821
     0.801391912,84110501,127008
     0.901614086,113701,<not counted>
     1.001791655,<not counted>,<not counted>
     1.102024922,<not counted>,<not counted>
     1.202278209,8637211,16708
     1.302529786,<not counted>,<not counted>
     1.402802868,11881694,23752
     1.503064639,95692,1840
     1.603301880,<not counted>,<not counted>
     1.703466668,<not counted>,<not counted>
     1.803702858,8453374,15809
     1.903925347,<not counted>,<not counted>
     2.004148072,<not counted>,<not counted>
     2.104378038,<not counted>,<not counted>
     2.204629553,<not counted>,<not counted>
     2.304862037,<not counted>,<not counted>
     2.405071629,23644208,27826
     2.505266327,273206418,44533
     2.605442007,193730837,177353
     2.705614769,236915284,91567
     2.805788190,278251476,127281
     2.905973785,257845760,246493
     3.006128755,241740236,223756
     3.106300989,263486417,265840
     3.206464437,257015281,285519
     3.306629438,236428049,239489
     3.406784021,251730452,205844
     3.506968495,253280542,237001
     3.607122542,233547938,414895
     3.707268588,252361212,230105
     3.807416104,245921827,253451
     3.907584317,232616686,268335
     4.007731131,197488546,210498
     4.108120881,252815321,210200
     4.208271729,259713540,230356
     4.308444591,218408466,233919
     4.408619031,201370582,204580
     4.508795483,218102320,362067
     4.608964368,158619868,396981
     4.709133556,180192991,525120
     4.809303966,157303310,600712
     4.909473995,171149013,472838
     5.009653744,177993913,477053
     5.109806532,148529948,1916162
     5.209984291,147825847,1058816
     5.310146774,111952114,1188166
     5.410328109,113202908,929962
     5.510500418,100416257,994006
     5.610667086,90349967,690817
     5.710836352,85474829,888293
     5.811001050,78142333,1179784
     5.911159241,48845864,1391235
     6.011332972,69341910,1477179
     6.111492512,17411556,2158470
     6.211679232,108368720,849383
     6.311838008,169147456,1431983
     6.412017304,194805743,90003
     6.512188397,217538939,173430
     6.612355236,191103537,136231
     6.712511963,222767937,134466
     6.812670974,145565233,113336
     6.912859536,218402618,139590
     7.013042197,218128817,61182
     7.113196723,261557287,51718
     7.213360619,234473748,72651
     7.313529585,194907016,82201
     7.413702831,205376118,130938
     7.513862569,212385207,79989
     7.614048299,250752984,91353
     7.714229368,217787206,85198
     7.814407806,236334487,92036
     7.914585424,217648172,102062
     8.014772944,208411973,73728
     8.114942954,197521244,148972
     8.215118145,209078798,78211
     8.315287507,241975617,116261
     8.415483945,155187912,118702
     8.515657334,204005625,163466
     8.615829653,175509857,146086
     8.716008463,204992784,167075
     8.816206396,170436393,118760
     8.916382921,146968862,214246
     9.016558886,151965803,164353
     9.116735490,128398080,153726
     9.216903763,223763321,220325
     9.317078537,213986711,140172
     9.417249763,239573373,99074
     9.517421554,170393188,165035
     9.617589190,211332665,121852
     9.717752472,209139108,136397
     9.817954337,235990561,51379
     9.918118643,244283969,83980
    10.018300784,207104333,113098
    10.118474018,261022921,52403
    10.218624378,234784311,100044
    10.318820770,227334939,72102
    10.418992423,256786744,101483
    10.519162097,189476209,187381
    10.619331548,244609698,99249
    10.719503950,219619422,105969
    10.819672856,230117243,52217
    10.919850680,248546398,78278
    11.020036016,211788201,92072
    11.120212919,259513484,51691
    11.220381399,210464303,105508
    11.320558585,228153400,60483
    11.420735651,223811763,151303
    11.520913693,205789928,235912
    11.621051872,230083850,147773
    11.721242883,152225927,130858
    11.821417384,254179346,79888
    11.921593344,227901535,72609
    12.021768287,229787317,55308
    12.121933074,237192873,101869
    12.222138042,215854329,72846
    12.322320621,248228854,102468
    12.422495250,212319302,87121
    12.522665497,247395129,52364
    12.622807685,245547421,85187
    12.722960529,215679257,91375
    12.823131737,260639429,54603
    12.923283374,235369261,81063
    13.023438677,212426301,52998
    13.123582341,255659673,90613
    13.223739233,233417950,70846
    13.324034556,250890307,45058
    13.424191013,238250089,97267
    13.524342151,219808121,77139
    13.624509486,236899913,123127
    13.724706521,224117445,93444
    13.824881734,249333016,56276
    13.925062038,244149648,85866
    14.025245322,215322558,71715
    14.125414323,258932550,89704
    14.225592019,225683639,158628
    14.325749748,205573464,114297
    14.425909899,192045120,222476
    14.526059598,204824741,136191
    14.626213781,201584401,205709
    14.726390377,195483220,163804
    14.826542269,196953333,274380
    14.926699721,191290827,160732
    15.026879393,228003726,133318
    15.127024105,210780586,83940
    15.227136264,260860809,74229
    15.327323261,227631721,109604
    15.427481688,193789591,129005
    15.527662745,136466603,259031
    15.628037498,186595346,256946
    15.728206918,180008136,147826
    15.828361044,227624957,181413
    15.928574321,143220204,218009
    16.028728340,210302291,176731
    16.128881843,189262184,163996
    16.229047591,226830882,204230
    16.329218268,205659123,157159
    16.429370158,175054995,131812
    16.529537525,196684098,120519
    16.629713418,245575246,63777
    16.729902175,221808586,159475
    16.830074398,195795271,558989
    16.930268049,222838800,98954
    17.030431756,179118179,93867
    17.130617632,208352595,144166
    17.230813846,224358822,58482
    17.330979757,237126517,62947
    17.431158382,165373446,172829
    17.531335433,239223763,132334
    17.631520419,229544375,84022
    17.731690609,215821727,102377
    17.832036406,215738415,182933
    17.932194234,196403525,160349
    18.032372046,230511211,188544
    18.132538702,190667100,115763
    18.232717869,236235179,89130
    18.332893765,230925325,109555
    18.433074698,228257026,85153
    18.533262874,215862582,142375
    18.633450695,225953954,53312
    18.733631228,262526397,72358
    18.833806307,222745676,94168
    18.933975812,241481517,65147
    19.034143036,229254022,132834
    19.134294881,193736506,106560
    19.234454603,249494951,112618
    19.334606019,231545354,78960
    19.434777090,225957517,92093
    19.534943631,215463744,138099
    19.635534103,220693949,91412
    19.735705476,249178541,136865
    19.835867044,214337348,139678
    19.936029147,252516691,102509
    20.036185433,224292509,146585
    20.136356526,207886554,103178
    20.236534541,246134085,108311
    20.336682739,212518106,83937
    20.436848197,244223435,91721
    20.537006502,211584366,107770
    20.637248121,233136237,70464
    20.737433106,236744521,115039
    20.837593385,215768396,114272
    20.937755232,254880539,145381
    21.037906854,226463785,132754
    21.138065914,227953489,72756
    21.238235287,247160090,106272
    21.338388530,223952859,106327
    21.438543281,252377280,73848
    21.538696573,224412005,117366
    21.638854392,231265257,59956
    21.739041654,256463941,98429
    21.839208554,208562250,163113
    21.939363960,253163197,62083
    22.039533917,233562563,107706
    22.139691569,208486242,107426
    22.239959793,171670895,267707
    22.340182877,179026833,142984
    22.440395535,140565499,223548
    22.540717844,161912008,146519
    22.640905398,159812397,183130
    22.741302263,166052711,301441
    22.841471262,161394553,192796
    22.941634652,167390285,302673
    23.041805381,211055100,98013
    23.141961624,236012597,117281
    23.242142619,212623269,88196
    23.342321432,251813194,63208
    23.442493924,215681967,97484
    23.542674401,233005529,57380
    23.642850179,234968692,99988
    23.743039026,216481913,67508
    23.843219093,262911883,74854
    23.943401989,231420724,91619
    24.043598972,233608127,55011
    24.143802527,251656123,112198
    24.243980511,224616864,78415
    24.344158509,248795808,62272
    24.444331107,226882635,108420
    24.544518208,227306932,52557
    24.644698757,261140957,77624
    24.744891765,223057280,92566
    24.845058525,249337809,55549
    24.945226149,243512222,89377
    25.045396787,220220415,79795
    25.145568441,257966727,82210
    25.245737333,231014839,84240
    25.345908003,230949078,60856
    25.446075480,253390986,97748
    25.546232406,209541569,111447
    25.646424049,249338073,88556
    25.746593064,223951184,107719
    25.846762983,234658887,50512
    25.946932557,256887801,88265
    26.047102091,221846959,94245
    26.147243094,247132322,72392
    26.247413693,240540288,93104
    26.347583960,214877042,68269
    26.447738280,247411322,142779
    26.547995448,229833574,81002
    26.648175028,236904267,65679
    26.748360759,239357494,105521
    26.848539254,221010064,80227
    26.948706892,258588451,60870
    27.048874351,218648969,185674
    27.149034142,232879680,112235
    27.249231051,225960979,131400
    27.349395583,211082834,67177
    27.449597813,248026501,133777
    27.549789221,229963201,82942
    27.649964163,230661764,63449
    27.750135510,225488789,102033
    27.850287103,226845459,69158
    27.950478489,257725306,84464
    28.050655958,229679448,95611
    28.150830733,233427006,69180
    28.250984446,249007346,93459
    28.351161389,213512973,97364
    28.451331162,258303285,64923
