Timestamp,branches,branch-misses
     0.010130728,2126309,75800
     0.020348604,2235611,101206
     0.030508018,2220737,104516
     0.040761978,2390318,90418
     0.050911915,2090802,87499
     0.061065058,2143084,99615
     0.071241389,2182273,94175
     0.081412703,2363555,82836
     0.091583778,2182866,87210
     0.101750406,2252041,85125
     0.112427772,2589197,107738
     0.122592867,2261269,98138
     0.132755269,2014575,71238
     0.142922508,2605830,90090
     0.153065911,2299493,45093
     0.163206613,2286354,85128
     0.173363382,2376398,82556
     0.183900527,2408703,95938
     0.194078295,2263128,97694
     0.204221525,2494383,75772
     0.214388174,2606099,72260
     0.224561061,2559427,104186
     0.234729396,2061197,104060
     0.244891003,1997017,84711
     0.255064346,2279594,92016
     0.265233246,3208038,60142
     0.275379084,2353466,77207
     0.285547902,3992040,66831
     0.295726936,4231730,70943
     0.305916018,3618147,4627
     0.316076187,<not counted>,120874
     0.326245933,2135440,98036
     0.336433645,2185756,84448
     0.346607951,1122926,46668
     0.356867879,2047187,71990
     0.367141852,<not counted>,<not counted>
     0.377404975,3612930,74647
     0.391668552,3948952,143000
     0.402004279,2072192,88720
     0.412215743,2396681,70380
     0.422385929,1969335,50548
     0.432652743,3077776,76162
     0.442810122,2621590,110263
     0.452965081,2829604,<not counted>
     0.463121058,3319695,<not counted>
     0.473278581,2865950,<not counted>
     0.483461618,3267443,87905
     0.493633004,3241976,122411
     0.503916691,3652918,124034
     0.514076714,4590989,130845
     0.524233552,<not counted>,<not counted>
     0.534402404,3505175,92668
     0.544669887,2980429,95226
     0.554853903,<not counted>,90789
     0.565015920,<not counted>,69735
     0.575186919,2973003,26527
     0.585355278,3378141,95018
     0.595528960,<not counted>,<not counted>
     0.605697252,3031031,69382
     0.616081743,3568724,129638
     0.626244329,3177372,78346
     0.636400967,3528897,63991
     0.646560969,<not counted>,<not counted>
     0.656697399,2279896,77859
     0.668021662,2078494,85358
     0.678199167,2964424,72725
     0.688643545,3767355,58807
     0.698812271,1769738,86097
     0.708985409,2578002,93571
     0.719332506,2528115,92913
     0.729501137,2932104,105189
     0.739673191,2783505,87367
     0.749852730,2241363,109112
     0.760082594,2604964,106583
     0.770236475,2820050,61101
     0.780398186,1876077,87766
     0.790548506,<not counted>,<not counted>
     0.800703309,3799291,89417
     0.810868067,2765061,<not counted>
     0.822001004,4391576,22150
     0.832168982,3315799,22877
     0.842343220,3964348,86653
     0.852490209,2369062,105945
     0.862813772,2004723,91592
     0.872966138,2042525,<not counted>
     0.883129893,3988494,56695
     0.893300497,2471916,46166
     0.903448061,3184862,110465
     0.913625077,3264294,<not counted>
     0.923814856,<not counted>,<not counted>
     0.933975271,<not counted>,103934
     0.944130147,2074175,104186
     0.954278103,3941157,71561
     0.964445366,3036905,61000
     0.974615931,4441356,67837
     0.984924434,4732953,146208
     0.995100412,3606659,130131
     1.005442515,2507667,109570
     1.015617275,<not counted>,<not counted>
     1.025773305,<not counted>,<not counted>
     1.035906791,<not counted>,<not counted>
     1.046046479,<not counted>,<not counted>
     1.056188450,<not counted>,<not counted>
     1.066341786,<not counted>,<not counted>
     1.076536662,<not counted>,<not counted>
     1.086696234,<not counted>,<not counted>
     1.096852557,<not counted>,<not counted>
     1.107009340,<not counted>,<not counted>
     1.117150861,<not counted>,<not counted>
     1.127316850,<not counted>,<not counted>
     1.137480484,<not counted>,<not counted>
     1.147627992,<not counted>,<not counted>
     1.157774997,543249,6331
     1.167935161,<not counted>,<not counted>
     1.178109565,<not counted>,<not counted>
     1.188248589,<not counted>,<not counted>
     1.198412161,<not counted>,<not counted>
     1.208569589,<not counted>,<not counted>
     1.218709727,<not counted>,<not counted>
     1.228857952,<not counted>,<not counted>
     1.239021671,<not counted>,<not counted>
     1.249177359,<not counted>,<not counted>
     1.259334149,<not counted>,<not counted>
     1.269484718,<not counted>,<not counted>
     1.279660154,<not counted>,<not counted>
     1.289818966,<not counted>,<not counted>
     1.299966685,<not counted>,<not counted>
     1.310121520,<not counted>,<not counted>
