Timestamp,instructions,l2_rqsts_miss
     1.000131330,3151864064,54011382
     2.000704661,2503760987,39307958
     3.000877204,73438136,1141942
     4.001062627,2833872649,20455887
     5.001434204,4652132876,18578665
     6.002550542,4789394141,15945356
     7.003266165,4682028093,16432809
     8.004345013,4706215934,20860385
     9.005213473,3931560036,34196197
    10.005573555,2098711757,41243440
    11.005988401,3020063511,54354094
    12.006621513,4503248564,44149391
    13.006978093,4491056596,45119250
    14.007342473,4507972922,46093038
    15.007718003,4337670793,42670351
    16.008096706,4447400440,44686822
    17.008747245,4357339200,45012480
    18.009113372,4480064020,44206778
    19.009468184,4443459617,46117763
    20.009902770,4479707698,46474393
    21.010241768,4490609515,47032493
    22.010862490,4457929611,45757400
    23.011271176,4258916682,43982970
    24.011667739,4451302564,45840300
    25.012061771,4367883041,45650133
    26.012440690,4427047566,43528146
    27.013068320,4486623482,44045726
    28.013463562,4286662369,45324296
    29.013850192,4410768487,43048416
    30.014241277,4401562306,44998227
    31.014633197,4486761006,44835051
    32.015154917,4392034915,44451408
    33.015476997,4533746489,45754429
    34.015876408,4391144404,44452411
    35.016241906,4418756954,44276966
    36.016600822,4461331838,45448677
    37.017282197,4453120611,45205954
    38.017655007,4428759675,45231750
    39.018012507,4481824321,45852226
    40.018402734,4411732562,44003076
    41.018736166,4326582559,45009677
    42.019340944,4451719672,44542829
    43.019719615,4445922808,44704276
    44.020070349,4463364621,44790705
    45.021860447,4147971409,42958451
    46.022191679,4318070227,43894677
    47.022794440,4372485937,43324562
    48.023169509,4454243050,45835505
    49.023551071,4491885767,46894921
    50.023939295,4377963190,43844979
    51.024327084,4455875745,45267647
    52.025055505,4312083723,44561692
    53.025406621,4230126192,43647297
    54.025795466,4437699270,44303591
    55.026154550,4386793859,47038820
    56.026526117,4388757396,46025527
    57.027321481,4454198528,44422480
    58.027773111,4340777383,43620781
    59.028127821,4325785413,44265056
    60.029094102,4328428928,43099633
    61.030978526,4455313969,46017832
    62.031522490,4129856377,43420346
    63.031872824,4430061199,46165554
    64.032262590,4170529611,41967668
    65.032784924,4348689617,44294603
    66.033139808,4502385113,44850162
    67.033728763,4486321258,45867455
    68.034056641,4378734590,45547485
    69.034424512,4451157960,44817190
    70.034919404,4422449965,43619179
    71.035286395,4399570705,44606545
    72.035876231,4443831172,45263010
    73.036248873,4475806565,46070445
    74.036713151,4421263452,45804132
    75.037048797,3972668290,40864657
    76.037242676,4170976272,42395793
    77.037821517,4355589573,42857245
    78.038181716,4454036201,44269467
    79.038577069,4450622793,45429780
    80.038985899,4216009257,44569502
    81.039376523,4508918386,44977278
    82.040009000,4485687716,43339481
    83.040438096,3826191152,41751722
    84.040818863,4282205676,44394123
    85.041201356,4329176238,43638160
    86.041718739,4285971038,44744307
    87.042137503,4412255585,44633224
    88.042497045,4225665702,44326674
    89.042851825,4010489666,41188966
    90.043047346,3935764279,40518533
    91.043249141,4389582677,44039347
    92.043861113,4440136703,46652119
    93.044205183,4308652476,43383855
    94.044392540,4502003292,45588119
    95.044815425,4532085401,44035049
    96.045177906,4441635617,46248688
    97.045572680,4497233776,45599880
    98.045960501,4337662857,44879031
    99.046348278,4380671132,43821488
   100.046746084,4528313938,45752466
   101.047125854,4503883885,45141312
   102.047676576,4406917834,45300375
   103.049589244,4438569946,45699645
   104.049963156,4362103147,45321635
   105.050318501,4293401602,42708583
   106.050694301,4486456966,44909550
   107.051301023,4409439541,46189442
   108.051654723,4468900773,45036755
   109.051997255,4482685871,45604452
   110.052310844,4342450618,45616075
   111.052671413,4402741078,44226702
   112.053249232,4541110143,44690897
   113.053651073,4481787102,45542437
   114.054149435,4482457679,45389233
   115.054461387,4497411607,45996553
   116.054851615,4407702968,42919741
   117.055453863,4388554945,42968339
   118.055833303,4551333894,45094740
   119.056214564,4354546050,45096707
   120.056768907,4297027430,44218598
   121.057137947,4513367661,45951067
   122.057703771,4352184103,42566818
   123.058072840,4436326432,43478887
   124.058544259,4435084630,46702599
   125.058919907,4494698690,45847938
   126.059286171,4364841879,45312268
   127.059814321,4430490524,44877583
   128.060137117,4356233106,42530847
   129.060758241,4374930122,44043007
   130.061121998,4444041364,45145089
   131.061499611,4309506205,46764002
   132.062107223,4483924045,45456577
   133.062491896,4496558339,44862647
   134.062855042,4298060034,44064452
   135.063232577,4273911475,42466111
   136.063600083,4497994020,46008775
   137.064171721,4429219590,44087661
   138.064704807,4352679173,45375858
   139.065047884,4472155970,43464966
   140.065411095,3952666054,41186554
   141.065777764,4003577313,40230958
   142.066313622,4332456816,45258527
   143.066696489,4521137524,44679081
   144.067177755,4397454391,44519933
   145.068104586,4360649547,43197727
   146.069163690,4414198036,44584363
   147.075737791,4416890547,45472720
   148.076039819,4447169807,43922030
   149.076231451,4439515920,45171446
   150.076633668,4365292312,45262673
   151.076998190,4472576166,45154051
   152.077552341,4422829416,45412309
   153.077902308,4122484565,43877063
   154.079837790,4131186284,41784031
   155.080160353,4120598294,44890964
   156.080757646,4121749065,42899739
   157.081469329,4519226732,44257778
   158.081851636,4412169514,44959534
   159.082222014,4474506137,45481486
   160.086588736,3997870786,42154215
   161.086782531,4104789908,40249426
   162.089655533,4124120363,43575757
   163.089962815,3836179554,40707286
   164.090154818,4390454023,44098490
   165.090526352,4323558567,44942199
   166.091503630,4500193223,45887262
   167.092191769,4478894923,43829736
   168.092756526,4384072965,45650232
   169.093085676,4457120658,46911990
   170.094205254,4433913237,44371553
   171.094578228,4470313600,45023738
   172.095285879,4469811712,45175325
   173.095655236,4379553749,45340006
   174.095984583,4432885323,44120155
   175.096771558,4367673943,45371679
   176.097142491,3981976023,41166690
   177.097836659,4538584749,46643640
   178.098224644,4498051293,46353103
   179.098624290,4447188042,45196677
   180.099014290,4440088005,45254901
   181.099380592,4504723796,46467839
   182.100045385,4528463491,44991912
   183.100429268,4574950055,47104984
   184.100825422,4615551270,46288677
   185.101258557,4326898022,44263417
   186.101578312,4352035279,43959163
   187.102229801,4353797149,45339616
   188.102420491,4305320133,43789065
   189.102785670,4594705614,46448125
   190.103112529,4567628576,46395014
   191.103467026,4485726388,46980107
   192.104078882,4290146820,45463458
   193.104729574,4282824586,43314981
   194.104918347,3398529550,35746797
   195.105307305,3592134182,36688651
   196.105671982,4427778989,45414634
   197.106296136,4811658441,49172056
   198.106668493,4928471008,48360919
   199.107049045,4740936464,47693290
   200.107450270,4709948933,49914374
   201.107834519,4827432429,48408577
   202.108440505,4856383828,47059641
   203.108832124,4463611835,46154034
   204.109183369,4768098363,51323696
   205.109559537,4502391834,46504038
   206.109945481,3623972342,36770531
   207.110558953,3586771858,40058518
   208.110815902,4014282196,40093460
   209.111046594,4141877944,43785220
   210.111469007,4684838435,45855696
   211.111864201,4848939431,49888548
   212.112774122,4814040848,47592321
   213.113135993,4846282146,47862786
   214.113464378,4884566349,47501178
   215.113839226,4946976268,48611144
   216.114224063,4846411286,49468398
   217.114835311,4898215196,49918201
   218.115182854,4893749340,48361571
   219.115569940,4839544161,49039439
   220.115952183,4839672224,49934057
   221.116334255,4806408203,47801245
   222.116910309,4914898652,48110799
   223.117265663,4099213219,49653796
   224.117592669,3553405270,37714283
   225.124169704,3712345735,37536184
   226.124386380,3905499785,39468202
   227.125083111,4440539171,46429741
   228.125578468,4518605526,48278101
   229.125917627,4677269242,49742803
   230.126477043,4845820071,48200223
   231.126821066,4828064519,48151211
   232.127440001,4832034583,47541291
