Timestamp,instructions,LLC-load-misses
     0.100119737,143996932,76289
     0.200333162,163363412,233829
     0.300500689,325752318,912487
     0.400871549,395789160,953002
     0.502474340,365443796,956633
     0.602845341,430130935,525616
     0.704522167,391038509,933793
     0.806303267,393342704,937919
     0.907700009,469939296,576891
     1.008636522,456894374,532988
     1.108936659,352094616,325752
     1.210727866,391142650,733173
     1.312340935,454207526,727884
     1.413708823,477982628,821735
     1.513999464,398535050,842313
     1.614230409,32498056,61863
     1.714445955,406612,7072
     1.814601297,<not counted>,<not counted>
     1.914763986,61579,1182
     2.014971615,35293338,65862
     2.115193538,322221,3275
     2.215399587,60115,1154
     2.315618146,<not counted>,<not counted>
     2.415841180,60221,996
     2.516105682,<not counted>,<not counted>
     2.616366002,60210,1143
     2.716635505,7759040,30681
     2.816816029,964305,4972
     2.917004354,<not counted>,<not counted>
     3.017229509,<not counted>,<not counted>
     3.117490384,12542092,30756
     3.217722750,8418874,19924
     3.317958914,85585,1638
     3.418268953,12102339,30228
     3.518551288,86426,1708
     3.618725675,12309904,28609
     3.718930968,107725978,53750
     3.819092494,423306205,178432
     3.919273470,442583127,266453
     4.019453094,460103579,341667
     4.119636628,507768025,256670
     4.219820063,529749965,435392
     4.319992873,525359948,447238
     4.420304140,512689943,532942
     4.520494910,542388542,398777
     4.621636643,530989237,403247
     4.723392052,489474684,400551
     4.825029316,515063079,499002
     4.925332903,545960368,409023
     5.027789858,547109807,427768
     5.128811523,522962694,615446
     5.229784145,542211880,417930
     5.331913388,516112504,474797
     5.433224597,542021186,499352
     5.533513529,520480073,506410
     5.633794056,536372068,461506
     5.735064831,528341509,609649
     5.839235926,500096313,553750
     5.940849321,491276226,420344
     6.041820924,534933564,491833
     6.143494894,512454570,487274
     6.244980554,529096007,480295
     6.345265072,520225587,531254
     6.445532633,529221539,498449
     6.547139444,523590130,508505
     6.647667382,497793278,883483
     6.749212283,545184396,616694
     6.849873676,541920123,654394
     6.950050700,531153681,715791
     7.050325415,537541341,707358
     7.152187415,503113842,845633
     7.253780583,525457234,746231
     7.356189018,521051263,834300
     7.457706636,541396445,866217
     7.559177850,485467267,2605046
     7.659468755,485200272,1119274
     7.761020740,449644822,1237754
     7.861378158,465480917,1307433
     7.961662450,451071388,1339190
     8.062692414,483472321,1153379
     8.164575255,482534430,1175396
     8.266232702,441758779,2951613
     8.366543840,408929081,2162199
     8.468422335,409700764,2437355
     8.569936653,352930397,2521586
     8.671746175,390619185,2755368
     8.773532561,305226780,3492486
     8.873837472,461421311,1384089
     8.978038492,459423108,1930632
     9.079626530,409438929,3856541
     9.181048695,396228141,3615037
     9.281344136,409750280,2404250
     9.381631500,361946896,2432132
     9.483185141,323496859,2326917
     9.584868624,380066950,2537188
     9.686340017,290976644,2818302
     9.786624514,348920786,1980839
     9.887020825,427398767,1935715
     9.987369016,330299635,2875068
    10.088856830,311743750,2670288
    10.189624377,345082124,2814235
    10.291318968,297458891,3323720
    10.391632673,337524869,3291619
    10.491934544,402240755,2528865
    10.592323663,381868994,2800918
    10.693808179,503750062,545687
    10.795615022,447684223,2001931
    10.896686806,509539139,288847
    10.998479796,480262766,371874
    11.099978944,521400186,408689
    11.200287075,496843348,327388
    11.300590427,443892228,378847
    11.401754061,510557820,449425
    11.503146700,525659572,302551
    11.603452378,423092621,315439
    11.703751687,500967924,577866
    11.804849139,528338102,303361
    11.905671313,446118906,328566
    12.007132214,479368102,521079
    12.107445404,545402467,433837
    12.207743881,468407765,257099
    12.308972629,479796226,478222
    12.409264218,511817301,428557
    12.511216423,481046675,340557
    12.611593882,474872902,464961
    12.711898205,513016308,459721
    12.813071799,497461503,318315
    12.913380970,476251018,454465
    13.013682693,489315535,433005
    13.115194621,506685736,399029
    13.216822212,477753086,459511
    13.318027113,507761321,458278
    13.418328212,489987699,398047
    13.520979548,500202576,479809
    13.621303536,471827801,421734
    13.721591024,482696203,384300
    13.822733901,458105364,465939
    13.924051405,515095513,497204
    14.025735870,508195941,339125
    14.126448771,457825990,452512
    14.226756479,519564164,542664
    14.328405452,514379086,290264
    14.428717061,436969202,457701
    14.529013024,525232136,532978
    14.629351376,509971913,326267
    14.731802694,447259197,377995
    14.832985869,509487901,579218
    14.933283395,509431181,421806
    15.033575774,446554483,360985
    15.135100932,443052405,538114
    15.237951245,503614163,415328
    15.338274525,464434376,372280
    15.438572522,468835190,475551
    15.540059279,508122111,460259
    15.640367237,477515922,383233
    15.742013691,469536758,521934
    15.842387537,514505201,452842
    15.944062152,474000949,377334
    16.044449644,476436724,471666
    16.146111327,523089037,454991
    16.246430191,472188517,365774
    16.348114304,452735239,509435
    16.449690632,518388215,492354
    16.550770551,479002293,368926
    16.651803254,477131201,463707
    16.753247105,505379495,523424
    16.854731698,471585774,375586
    16.956579867,445417506,487791
    17.056913485,499721024,562531
    17.158498805,511184147,364952
    17.259157168,450826824,391459
    17.359345234,490307006,561874
    17.459644736,516800252,364230
    17.561391250,446437878,356209
    17.661700369,482367224,655157
    17.761963991,531280148,435334
    17.863664539,453010687,309232
    17.965287802,462037940,597620
    18.066854773,536846949,485861
    18.167648359,467110624,295740
    18.268728190,429535900,511767
    18.369713838,546264888,613550
    18.471337976,489110794,285507
    18.571647591,432125262,416867
    18.671949379,539251280,660331
    18.773752411,501648345,292588
    18.874668904,384204089,396128
    18.975837708,511882259,751495
    19.077417471,529616900,356757
    19.178013538,436182499,319248
    19.279774034,497577707,673610
    19.381596954,535945703,398334
    19.483263003,451339667,312683
    19.583621959,467066175,619206
    19.683912350,545159417,490255
    19.784782281,467775136,290882
    19.886352058,456428168,577139
    19.986656891,544398577,537241
    20.088408136,477482339,319636
    20.188701100,436640438,546509
    20.290339353,540772617,613271
    20.391805240,502386243,342152
    20.493121582,449362695,499628
    20.593530054,534280359,632483
    20.695180979,509123595,310066
    20.795559370,439461764,454618
    20.897143651,493009457,654846
    20.997507177,509539456,401395
    21.097800903,440753846,408425
    21.199197489,521333614,584355
    21.299519115,510792235,421971
    21.399806943,454180169,428560
    21.501631312,505177052,557568
    21.601966856,511798033,464463
    21.703175012,471795569,416244
    21.803466440,489891684,597771
    21.904679010,520369190,422065
    22.005829390,465170632,362525
    22.107167296,484502457,595560
    22.207470351,522447834,432999
    22.307769064,464862859,392167
    22.408153310,474601759,616423
    22.508337367,534624973,458508
    22.608533979,463950067,357728
    22.708815619,464746219,552833
    22.810486712,544509483,517209
    22.911761431,470224129,349388
    23.012726239,448901003,563410
    23.114162671,553892413,550041
    23.214470924,464403925,316760
    23.314762899,447635222,526907
    23.415980690,544680435,597013
    23.517531472,483976867,343728
    23.618525211,443814058,482286
    23.719716776,547091004,670923
    23.820821269,501841108,300108
    23.921716701,425472976,431035
    24.022794977,528006141,713256
    24.123966319,500971283,349277
    24.225779639,417423976,382540
    24.327188839,497153722,764641
    24.428638270,536765044,377420
    24.530222781,444401715,337214
    24.631573101,484912120,669340
    24.733079701,535079527,483146
    24.833397803,458013050,316630
    24.933700056,443676796,586947
    25.034016477,544640510,570094
    25.135603361,463197912,299566
    25.237826447,424529425,553449
    25.339093748,549705897,626210
    25.439395361,478518688,312110
    25.539697432,424377060,462970
    25.640826535,538890392,647843
    25.742504365,500030430,361257
    25.844137785,437814571,467646
    25.945742817,507574461,714769
    26.046798890,520880919,437877
    26.147928254,409849540,358057
    26.249120653,478655967,676866
    26.351157615,539787630,452650
    26.451477538,447650425,344921
    26.551781209,469707558,604798
    26.653009338,526418532,547261
    26.753305307,477915710,348884
    26.855142893,472464887,557032
    26.956838705,526672701,520450
    27.059321742,483295551,373524
    27.159630771,452639629,573717
    27.261354531,510868252,547666
    27.361662976,475498098,422629
    27.463434924,476022106,1086741
    27.564854002,510994274,485294
    27.665152623,468765431,385962
    27.765343522,476753456,545697
    27.865746835,502309093,509716
    27.966064747,484250666,373127
    28.069137761,484943041,508946
    28.169436280,491631197,569608
    28.272487084,503684889,350767
    28.374067713,458010002,505988
    28.474370520,504110268,587677
    28.576113641,515391813,399225
    28.677745376,463507747,418418
    28.779384932,488697407,1053145
    28.879716040,409557170,2833185
    28.982826310,358965114,2805887
    29.084118418,396115873,4329370
    29.184419403,461433134,1216446
    29.284847027,356282128,394281
    29.385698021,449705686,938000
    29.487150198,463706899,322025
    29.587334110,460118417,251607
    29.687890143,404395376,626877
    29.789032091,486403616,326360
    29.889215572,420907228,267738
    29.989407170,466131837,302404
    30.091196408,425155501,434961
    30.192764131,376267864,311203
    30.293986987,326063785,2199465
    30.394176081,402614569,2613587
    30.494385097,381505305,3177158
    30.594592223,246777731,4412195
    30.694796394,133726764,5291297
    30.795010586,140535121,5271128
    30.895191893,69733413,2098096
    30.995416718,<not counted>,<not counted>
    31.095618130,<not counted>,<not counted>
    31.157092433,5179789,32817
