Timestamp,instructions,L1-dcache-load-misses
     0.100110489,336686016,5223906
     0.200273269,360336416,4908162
     0.300381043,393754288,5266688
     0.400535892,230176318,2338930
     0.500724738,<not counted>,<not counted>
     0.600950996,116221,3585
     0.701200626,<not counted>,<not counted>
     0.801434640,<not counted>,<not counted>
     0.901587343,<not counted>,<not counted>
     1.001783475,<not counted>,<not counted>
     1.101965531,8460391,88154
     1.202144393,<not counted>,<not counted>
     1.302377003,109770,3647
     1.402623778,<not counted>,<not counted>
     1.502785999,<not counted>,<not counted>
     1.603024164,12128861,153472
     1.703233477,<not counted>,<not counted>
     1.803437219,<not counted>,<not counted>
     1.903682711,86545,2784
     2.003901747,<not counted>,<not counted>
     2.104147810,<not counted>,<not counted>
     2.204348780,8396213,71006
     2.304594997,<not counted>,<not counted>
     2.404839897,2840763,34866
     2.505003792,426664890,2882302
     2.605137975,552422633,1220722
     2.705263953,573681246,1109457
     2.805391236,557844021,1167910
     2.905514822,570315890,1089290
     3.005642035,482273448,1409255
     3.105773054,514157921,783117
     3.205923702,532384507,1053839
     3.306061865,480530930,1032501
     3.406205203,444163848,1410550
     3.506346246,521933826,802441
     3.607877571,501005383,953307
     3.707998487,441722058,2399157
     3.808131178,351946147,5207599
     3.908260198,481582321,3611038
     4.008388409,484541455,4014403
     4.108512805,476239042,4044354
     4.208640658,452243525,4081670
     4.308774739,473760314,3618993
     4.408905357,475532706,3801908
     4.509037972,442435390,3745403
     4.609168495,475639701,3950716
     4.709298211,458429095,4212500
     4.809430800,495257009,3664493
     4.909558133,479263490,3932931
     5.009684569,475640353,3989351
     5.109817211,458551595,4216377
     5.209946036,483305692,3754665
     5.310077489,453679316,3573279
     5.410201828,440562552,3639214
     5.510331141,464824449,3947995
     5.610457678,453299267,3983811
     5.710589952,465771523,3934380
     5.810709985,499475348,3700456
     5.910845433,461640108,3903905
     6.010976535,437579981,3714682
     6.111110324,434492241,3666938
     6.211240374,456178166,4076972
     6.311369529,489598483,3631351
     6.411516779,483818017,3996353
     6.511644699,445566554,3761065
     6.611777514,459759038,4144445
     6.711903361,435739212,3691339
     6.812023600,479409208,3540988
     6.912143336,482612833,3921602
     7.012265247,473159631,4057076
     7.112392074,455457210,4159837
     7.212524976,445900452,3551702
     7.312652352,469046100,3519751
     7.412779638,475591208,3971737
     7.512908411,439888165,3779274
     7.613037219,463579043,3993948
     7.713165488,436866825,3743024
     7.813295652,490972372,3673982
     7.913425596,472093901,3882189
     8.013557246,466612827,4017765
     8.113689599,458634586,4101070
     8.213821016,468864331,3812703
     8.313951806,494181312,3759658
     8.414077377,478394927,4025457
     8.514207558,446392894,3840571
     8.614340571,415632779,3971811
     8.714476248,450580534,4369850
     8.814604917,482791454,3632848
     8.914728824,475737574,4081934
     9.014857982,236653934,5773483
     9.114989740,103268738,7906841
     9.146165623,50043664,1942006
