Timestamp,instructions,l2_rqsts_miss
     1.000128693,2364316904,38410582
     2.000366411,614188966,5882371
     3.000608646,4197579,119417
     4.000787705,816129928,5929303
     5.000946746,3300450495,13604982
     6.001147108,4315146546,12947128
     7.001333421,3443375633,17466838
     8.001524735,2694766098,33027828
     9.002536218,3480830904,37552767
    10.003914456,2631336228,24834090
    11.004104536,3451614266,31643482
    12.004307962,3593159518,32492545
    13.004503719,3698798657,33470860
    14.004688433,2591243742,26813052
    15.005067004,3859643278,32133807
    16.005253589,4020140273,33186110
    17.005438867,2998416218,27663278
    18.005631073,3355582669,29596589
    19.005824789,4100854972,33705166
    20.006019289,3964891852,33416914
    21.006203695,2408847016,25220584
    22.006532161,2354965486,24512449
    23.006916848,2429964789,27590859
    24.007244989,3267378410,30180032
    25.007437290,2604624553,27090194
    26.007807270,2734513172,25296747
    27.007994874,3146399866,31798684
    28.008368352,3092301789,28229810
    29.008559170,3563181596,31972924
    30.010265265,3619871006,32150366
    31.010457862,3745791182,32862182
    32.010645873,3125486434,30685241
    33.010830607,3795519210,31828136
    34.011038625,3220829250,30058001
    35.011225389,3680762992,32889504
    36.011405118,3677048360,32554976
    37.011606192,2839949472,28664790
    38.011784218,4320785447,32463048
    39.012025935,3388335996,31322268
    40.015626674,3109448755,30477664
    41.015824973,3155944355,30489309
    42.016020288,3199749283,30590455
    43.016214707,4421388594,33430944
    44.016402613,3466273748,31008320
    45.016600856,4009508291,32131576
    46.016790841,4217739726,34829495
    47.016983149,4221009912,32934122
    48.017177043,4079954133,32835721
    49.017379725,4165053017,34148424
    50.017604418,4277691821,32854108
    51.017795327,3136269893,29574882
    52.017987268,2865616896,28995578
    53.018401580,4126161433,33316059
    54.018594786,2799015146,28897521
    55.018783869,4128883665,32884051
    56.018969455,4152615056,35350071
    57.019158026,4031624492,33883086
    58.020417060,3777019771,32354301
    59.020608940,3698050143,31511589
    60.020807586,4160041575,33869343
    61.021002510,3298013641,30671393
    62.021196006,4352367950,34103885
    63.021387711,4374478345,33056450
    64.021576799,4337827954,34644579
    65.021769783,4327301683,34009981
    66.021958270,4262239698,33432283
    67.022169929,4390687966,34060214
    68.022359093,4109991079,33541880
    69.022554481,3903550116,33159717
    70.022754888,4026291126,33922805
    71.022938982,3532595710,29738071
    72.023128493,4283557337,34598618
    73.023320830,3883775300,33458348
    74.023796418,3699707511,32433722
    75.025771347,3652180355,29302332
    76.025948544,3574658867,32354809
    77.026135968,3199034042,30180139
    78.026321005,3421560440,31648763
    79.026523426,3801390128,34030132
    80.026711673,4231003908,34229658
    81.026920818,4133171767,32153775
    82.027109207,2804374805,30681163
    83.027461319,3245668132,27926128
    84.028039335,3065393725,29035499
    85.028232748,3213575323,31317310
    86.028415795,2903668884,29444665
    87.028597498,3448283379,32008021
    88.028793346,3445295833,29880228
    89.028986372,3854472887,32648592
    90.029183899,3680081714,30783288
    91.029378539,4037307500,31584827
    92.029678427,4092328030,34259050
    93.029863649,3815852840,34046246
    94.030050534,3925559367,34456075
    95.030238612,3952040246,33809132
    96.030464779,3807482398,34335674
    97.030650807,4112301701,33951690
    98.030838824,4242078843,34643745
    99.031022769,4380454803,33026630
   100.031248838,4256983224,34390575
   101.031436500,4057980071,33293255
   102.031918585,4215794521,34640663
   103.032111705,4282121694,33038546
   104.032305476,4196415559,34852511
   105.032567659,4225496506,33293344
   106.032767825,4180607021,34571025
   107.032968270,3957841215,33389620
   108.033162845,3810137217,30641613
   109.033355267,3706527768,32891928
   110.033543606,3834514981,34271591
   111.033741389,4162303790,33689312
   112.033924249,4183214456,33995896
   113.034145159,3840000165,34106666
   114.034341527,4035034154,33475242
   115.034526617,3875279984,32574861
   116.034719987,3904579094,32503716
   117.034909005,3779859328,32546939
   118.035105377,3735896754,32882717
   119.035289152,3419472082,31507663
   120.035496253,3408473985,32641784
   121.035928277,3742746317,35222745
   122.036110815,3783683231,31311959
   123.039808547,3173862474,29728207
   124.039986987,3797798976,32079318
   125.040167582,3904804065,34683044
   126.040629336,3741270662,31915260
   127.040817034,3435328271,30410381
   128.040999125,3892021126,33257211
   129.041192071,3993615530,33715330
   130.041384091,4048226618,32763792
   131.041571625,3992872403,33456779
   132.041796411,4059557096,32998489
   133.041988454,4031585831,32973491
   134.042178636,4031911060,32982782
   135.042368203,3852471083,32704396
   136.042555545,3871000108,32662964
   137.042751847,3907817528,34558793
   138.042947663,4025309182,33115662
   139.043134685,4034518983,32893251
   140.043330137,3986163858,32563883
   141.043772014,3786330823,32800320
   142.043961129,3566555529,31318456
   143.044147465,3688209398,33193894
   144.044338172,3746046879,33144202
   145.044531224,4025420786,33222262
   146.044714988,3453083357,32061785
   147.047535208,3169138218,30628938
   148.047737226,2886227479,28073343
   149.047928638,2842546084,27768041
   150.048111081,3418903983,32299428
   151.048851649,2804586157,28283565
   152.049358867,3424389586,29785795
   153.049606802,3892830808,33156973
   154.049790906,3892811039,32594322
   155.049983809,3948907959,32958597
   156.050169535,3435412713,30119225
   157.050352550,3283048992,29959158
   158.050547282,3384396028,31497590
   159.050865815,4099635420,33203428
   160.051053859,3935813373,32650828
   161.051260988,4016621232,33652863
   162.051451820,4048494704,32562700
   163.055370974,3516666072,29220764
   164.055547205,3877387034,32052834
   165.055751063,4109362188,33862852
   166.055936464,4032588113,33950695
   167.056128033,3972590951,32073195
   168.056330792,3951193458,31979279
   169.056529975,4135176842,33364645
   170.056724853,4124592861,32215812
   171.056923685,3546609679,32670606
   172.057107996,3870411932,32277119
   173.057301505,4253005785,33040941
   174.057493645,3525159956,33997509
   175.057679784,3821189694,33716389
   176.057864843,3968279151,33377035
   177.058059278,4013009855,34651015
   178.058254667,4149604724,32371842
   179.058446753,4030510558,32672073
   180.058641146,4164400092,33403497
   181.058833380,4070820220,32039409
   182.059022989,3425686002,31437062
   183.059217809,4210633846,33427234
   184.059416601,4188549745,32551992
   185.059898970,3603454412,32855010
   186.060086518,3349730867,32023057
   187.060279482,3531830257,33483740
   188.060731541,3333509220,29764628
   189.060927438,2630048744,29212656
   190.061122919,3570000489,33165701
   191.061487663,2384536823,28400436
   192.061681842,2737910418,28458464
   193.061879162,3428077577,33432569
   194.062072261,3805808803,32653964
   195.062261183,3977665412,33485348
   196.062444909,3375474374,28896765
   197.062646535,4239227147,33456123
   198.062856168,4128536508,34466443
   199.063059014,3354934762,31251861
   200.063244803,3359470781,31988598
   201.063835527,3118048524,30710870
   202.064274629,2421497612,29767341
   203.064466260,2399946051,25552761
   204.065152407,2371952786,26434299
   205.065536620,2363184645,28948236
   206.065894619,2375297279,28491797
   207.066085401,2440949227,26620278
   208.066269356,2429406378,24331565
   209.066461275,2527563963,27659608
   210.066812526,2494880960,30043892
   211.067809870,2374348627,30039257
   212.069383467,2489620160,30516045
   213.071553163,2395289997,28693056
   214.071741843,2133973541,22854114
   215.075284639,2356300211,27509999
   216.075479859,2489892930,28524189
   217.075683414,2434453976,25339404
   218.076433361,2423888636,23512005
   219.076805037,2285510313,25122485
   220.077180451,2357182256,25618463
   221.077547486,2634869325,29277420
   222.079547976,2691093662,31030615
   223.079751742,2662570034,30231640
   224.079938793,2605762936,28737134
   225.083376096,2542750980,28549932
   226.087540855,2571666349,29388994
   227.088568033,2449071319,29853039
   228.089119368,2488483274,29747290
   229.089316280,2592261919,26577202
   230.089514719,2526920689,28569863
   231.090656091,2353554527,25780064
   232.095377977,2308361584,27221025
   233.095556690,2774920553,30988877
   234.095924677,2550113637,29497438
   235.096670369,2452727064,30353738
   236.096856015,3311806133,31103207
   237.097043581,2718115844,30162507
   238.097242361,3587524951,31739348
   239.097480529,3114329467,30622510
   240.097988211,3204216848,33356292
   241.098345691,3070981964,31725951
   242.098713943,2705952508,30291693
   243.099543856,2629157575,31803930
   244.102253358,2830276736,30103836
   245.102517112,3432899698,33210623
   246.102706900,2828722377,31584661
   247.102950316,3546912692,31711084
   248.103146618,3077646722,31900044
   249.103342178,3256417601,33132043
   250.103777335,2703967505,30157405
   251.104010069,2566029829,32877941
   252.104187212,2755549436,29226584
   253.104548509,2571309656,30181224
   254.104715542,3244706570,29998909
   255.104906521,3625106213,32299262
   256.105091164,2988030261,28993401
   257.105503701,2771504010,28766519
   258.105695131,2848185396,31493315
   259.105894009,2438756503,28508766
   260.106146260,2599462900,28410612
   261.106339956,2307059461,23621876
   262.106529558,3691151803,31526117
   263.106998433,2707187281,27293523
   264.107260984,2630690432,27458418
   265.107457110,3298388021,30935868
   266.107805257,2599193945,28463712
   267.108214159,3127660636,29792796
   268.108404515,3184479811,31246834
   269.108606084,3719302984,32642127
   270.108792038,3143716418,30433988
   271.110043007,3229407504,29857005
   272.110230980,3645429936,32809468
   273.110420126,4127680804,32429081
   274.110623420,4184759096,34560922
   275.110821116,3975495375,32117553
   276.111013983,3894516494,32467000
   277.115818152,4251280231,34915454
   278.115999926,4282636293,33340308
   279.116173532,2837883602,29696804
   280.116579869,2761447670,27933739
   281.116772057,2418152135,24245859
   282.118107707,3379611290,31503924
   283.118298701,3768114991,33608782
   284.118495381,4106164412,35414593
   285.118692235,3546800337,33053106
   286.118884244,3986932837,32802360
   287.119071301,3182480609,29834042
   288.119255873,2612171919,24614523
   289.119547121,2411009813,26369298
   290.120219989,2515198492,27169157
   291.120410891,3686071754,31992450
   292.121407131,3523012657,32439824
   293.121594998,2526957302,30314426
   294.125023137,3325136802,31680430
   295.125273066,2829398567,29677855
   296.125495156,2691383694,27840894
   297.127842029,2787146332,27174530
   298.128821875,2419728266,25500262
   299.129009224,3297084401,29556524
   300.129197801,3059796388,29521891
   301.129393141,3046562935,32415978
   302.129627855,2890665092,32097235
   303.129817177,2870436753,26300389
   304.130012904,3222532376,32803769
   305.131651799,3139554383,30507390
   306.131835656,2340397122,25885081
   307.132410117,2273996347,24363155
   308.134238300,2410131836,29514078
   309.134419560,2287190923,26484740
   310.136124388,2211362326,26021978
   311.136807264,2422139918,28352873
   312.137006669,2562896108,26496184
   313.137355879,2741091092,30453387
   314.137736651,3452861652,30276853
   315.137924203,4049066040,34204938
   316.138117732,4187836985,34458868
   317.138308241,3833546646,33069565
   318.138466499,4011229805,33363861
   319.138654978,4239651845,34642934
   320.143008007,4158715347,34731421
   321.143203387,4320069209,34346371
   322.143407374,4241313175,33769666
   323.143612749,3976554731,33498065
   324.143815193,4166025838,34124780
   325.144000630,4246621320,33882332
   326.144185890,4212297595,34426509
   327.144375962,4317042921,33943643
   328.147870317,4217527156,34362459
   329.148543124,4265570399,33486473
   330.148734975,4243003797,34381292
   331.148914994,4312650715,33660033
   332.149104180,4180257705,34623504
   333.149299109,4176852640,33856346
   334.149490127,4268298302,33581792
   335.149664476,4220806062,34404849
   336.154979702,4292719223,34171546
   337.155179270,4240586688,34867184
   338.155345376,4223723757,33604933
   339.155536753,4151745013,33133115
   340.155724034,4285574588,34496600
   341.157551619,4213653697,35040654
   342.157745259,4310071580,33322752
   343.157929982,4232539781,34985241
   344.158117134,4304046846,33821273
   345.158306796,4079871873,34778522
   346.158495393,4357933917,33393701
   347.158676917,4154602685,34446084
   348.158876574,4230973718,34341588
   349.159070156,4285112213,33169110
   350.159254721,4167126865,34273611
   351.159449106,4260973357,33658160
   352.159666947,4274954398,34935350
   353.159853613,4219291461,33251900
   354.160028712,4247309965,34533847
   355.160220875,4177251600,33363423
   356.160408477,4304959371,34538932
   357.160607090,4087152321,33425049
   358.160805571,3870430113,33474482
   359.160993162,4278312691,34062290
   360.161170085,4241086347,33694571
   361.161357056,4267948444,33259795
   362.161561511,4322798848,34302555
   363.161753006,4273252030,34107039
   364.161942804,4271736450,33255236
   365.162129181,4306589400,35128689
   366.162331787,4217369984,33546664
   367.162524769,4264207828,32646091
   368.162716598,4222696249,34733721
   369.162918956,4273343270,32719989
   370.163128115,4171394452,34861111
   371.163327473,4323087322,32105082
   372.163710417,4199888690,34373013
   373.165564589,3194382172,32808740
   374.165753948,3103691068,31567353
   375.165952627,3471371971,32492163
   376.166142929,3584454152,31759490
   377.168232571,3511347339,33662149
   378.168756808,3436199895,30039250
   379.168932799,3053961356,31244298
   380.169125876,3632212484,31999139
   381.169314280,3816721191,32383931
   382.169505234,4062987615,33471465
   383.169713557,4045850266,33234425
   384.175146613,3994717257,34071378
   385.175336583,3333964005,32154645
   386.175532229,3799356864,33978651
   387.175730509,3490172871,31292472
   388.175916658,3389796988,32345570
   389.176283619,3007150666,31152217
   390.176625200,3018290130,31546940
   391.176819442,3147163904,31943792
   392.177431597,2634868851,27267654
   393.178628362,2116518943,24941319
   394.179836693,2700968162,29113535
   395.180208494,2674781801,30757839
   396.180397153,2945185488,31353936
   397.180747353,3504083394,33382026
   398.180940218,3400367558,29806240
   399.181305651,2166954641,22051155
   400.181665480,2182894750,25790602
   401.182027310,2168602014,25522468
   402.182379381,2443196904,25794334
   403.183795474,2920494903,27155216
   404.183989822,2502185574,28783372
