Timestamp,branches,branch-misses
     1.000144372,738417334,25240131
     2.000823492,462713786,14186923
     3.001052381,19940604,671293
     4.001245783,794846877,7200325
     5.001605887,1080611558,7662728
     6.001975312,1048852633,6617225
     7.002331610,1071281799,6060320
     8.002660622,973561009,5790071
     9.003182180,632629530,6020071
    10.003490778,745184054,10741231
    11.003841586,1079756365,15313178
    12.004210739,1100093380,14586224
    13.004888128,1110936127,13944100
    14.005255550,1111588784,13570586
    15.005625403,1119812678,14376938
    16.006560894,1138051338,14104691
    17.006953370,1105084621,14191700
    18.007327877,1094995343,13627706
    19.007696512,1128980211,14173448
    20.008093864,1113421554,14001506
    21.008724736,1123595558,14047596
    22.009133253,1137930009,13866400
    23.009506697,1124071275,14224180
    24.009892954,1136875428,14466435
    25.010294314,1130333807,14674729
    26.010883779,1161045490,13801068
    27.011260769,1136472375,13872583
    28.011586243,1098775696,13980783
    29.011933272,1123535695,14256525
    30.020746897,1129294672,14255277
    31.021325554,1120446812,14348485
    32.021700512,1109609789,14683109
    33.022067715,1153155956,13991917
    34.022429663,1133552585,14396798
    35.022811216,1127859653,14473233
    36.023460535,1117752570,14708602
    37.023819797,1133881229,14294042
    38.024210921,1119338132,13896615
    39.024720075,1129228133,14643258
    40.025096250,1147457259,13858516
    41.025664705,1121372146,14587358
    42.026031675,1118107920,14755859
    43.026382340,1114085603,14303582
    44.026758200,1139629195,14091981
    45.027151959,1124606694,13929801
    46.027756212,1127233986,14436270
    47.028123152,1125370580,13877667
    48.028576266,1139086939,14024688
    49.029013297,1127461100,14048732
    50.029391472,1124955112,14402551
    51.030060000,1129892833,14226908
    52.030402912,1086333568,14309810
    53.030799507,1121892433,14286450
    54.031239620,1122224279,13940138
    55.031616011,1096705648,14432860
    56.032254055,1100332005,13815987
    57.032621478,1126207861,14693193
    58.032996866,1101039687,14243828
    59.033405901,1152960350,14174686
    60.033799673,1118452077,14214061
    61.034353685,1140088206,14029702
    62.034724742,1129312775,14541496
    63.035103707,1132830545,14025933
    64.035457568,1125866475,14213930
    65.035819148,1121259850,13749374
    66.036440379,1127529288,14280717
    67.036807943,1122846975,14503909
    68.037198782,1114733219,14383777
    69.037592998,1114964812,14374991
    70.037947033,1116266855,14211362
    71.038498307,1130341396,14049206
    72.038859761,1125586386,13996809
    73.039247873,1095891824,14471370
    74.039640504,990733901,11931978
    75.040021336,1102784664,14047121
    76.040691313,1113848701,14405764
    77.041065733,1127267472,14177944
    78.041488187,1081172012,13220964
    79.041858405,1120539496,14121573
    80.042217921,1145658888,14215934
    81.042887468,1042139961,13631058
    82.043279100,1097666657,13781457
    83.043669855,1122239389,14466957
    84.044083543,1106594579,14302311
    85.044696452,1131334258,14107074
    86.045274499,1132864276,14141292
    87.045652258,1118532751,14439452
    88.046027153,1086134435,14353879
    89.046432002,1131921182,13650148
    90.046843587,1120640819,14062366
    91.047395276,1117669101,14079122
    92.047763286,1111752007,14475724
    93.048155523,1113082730,14469186
    94.048835523,1140932041,14456021
    95.049235712,1147731983,14137682
