Timestamp,branches,branch-misses
     0.010176291,1763431,70534
     0.020498412,3085711,148866
     0.030683411,3908973,133398
     0.040835523,3501490,139188
     0.051018347,2932993,141776
     0.061172891,3143423,129967
     0.071332607,2413638,<not counted>
     0.081486087,3476487,126868
     0.091631632,1214722,127651
     0.101789516,3929274,131462
     0.111943461,3890289,139186
     0.122107687,3745828,139119
     0.132261714,4191980,112328
     0.142418158,3817193,128082
     0.152569297,<not counted>,97923
     0.162721002,2383970,82054
     0.172904886,3732100,67112
     0.183059088,5429321,48922
     0.193216846,4441166,58953
     0.203390028,1392581,41568
     0.213601281,2089769,52058
     0.223779931,5565921,219334
     0.234066454,7029771,272035
     0.244353425,6800738,318880
     0.254641476,8082240,382925
     0.264928624,8703691,355842
     0.275253687,7755317,379829
     0.285541970,6830827,342561
     0.295832505,9178175,348443
     0.306087739,7230428,334306
     0.316417243,8824044,354971
     0.326759229,5204361,241509
     0.337771079,7832071,263121
     0.348061402,6662878,299713
     0.358562028,7983486,329372
     0.368820176,9686200,397283
     0.379269220,8305166,299364
     0.389579294,7324096,297079
     0.399873343,8599238,318323
     0.410168119,9196374,250467
     0.420501182,8616578,313745
     0.430797940,8927652,315705
     0.441410943,8666773,329751
     0.451707670,8066581,360588
     0.462015383,8677723,343956
     0.472308149,7954333,303889
     0.484084824,11392544,382550
     0.494376502,7540561,306999
     0.504671777,6721351,269421
     0.515307987,6310120,327256
     0.525682028,6476985,281965
     0.535966156,6719314,201521
     0.546268428,6846783,284049
     0.556560181,9717807,243311
     0.566856265,8462840,259813
     0.577454832,9910910,294228
     0.587754967,10308672,275833
     0.598030559,8853861,269806
     0.608298620,9128809,327831
     0.618582999,7888030,311617
     0.628894765,7151179,227765
     0.639255494,8436494,381484
     0.649536417,6785670,319558
     0.659821326,9293881,311452
     0.670138405,7891552,265493
     0.680429629,8019137,353818
     0.690898528,9270479,286472
     0.701473932,8521515,298927
     0.711772544,9337052,273200
     0.722066523,7856390,276966
     0.732372439,9839696,210606
     0.742666258,8509246,292604
     0.752960443,7271696,278462
     0.763267092,8403181,297541
     0.773554746,7409158,327852
     0.783966513,7211783,324468
     0.794226174,9086459,302341
     0.804524044,6323683,297289
     0.814823874,9894976,366446
     0.825446145,9211372,303774
     0.835767373,10773031,348135
     0.846049237,9362508,345891
     0.856330179,8676164,251930
     0.866618496,7984949,201473
     0.876903465,10469593,274646
     0.887245878,10965086,210856
     0.897546607,9175471,174355
     0.907837610,9434553,334847
     0.918138176,8895327,273466
     0.928445066,7640524,182401
     0.938796484,7015319,186765
     0.949407840,7446361,246549
     0.959842121,10901060,244087
     0.970092976,10275062,222109
     0.980374296,9644277,195111
     0.990666688,10975956,206769
     1.000988023,9449544,240641
     1.011285016,8444368,319027
     1.021575905,8127378,238647
     1.031865687,8494783,275365
     1.042193435,7461434,235994
     1.052455562,7094580,259752
     1.062724415,8364472,344584
     1.072989489,7379770,305250
     1.083272612,8450522,314992
     1.093549769,7332955,251258
     1.103814027,9098111,232835
     1.114077488,7368757,233604
     1.124489373,7541973,346232
     1.134738767,7395147,306210
     1.145227341,7138390,295071
     1.155517542,7945240,368498
     1.165814116,8100521,329671
     1.176106325,8299226,277870
     1.186418078,8355832,312887
     1.196716167,8656969,305810
     1.207257854,9690571,282081
     1.217552794,7760952,297963
     1.227848456,8767710,283151
     1.238119447,8986024,280943
     1.248458802,8464050,314731
