Timestamp,branches,branch-misses
     0.011044695,1968942,69541
     0.021277452,2137397,110971
     0.031505675,2185303,108385
     0.041798651,2487681,82155
     0.053851343,2867168,119184
     0.064040765,1906255,86907
     0.074218884,2047399,93629
     0.084402395,1781438,78369
     0.094581235,1950989,94580
     0.104790563,2410210,109746
     0.115063143,2459861,89607
     0.125264320,2247462,92492
     0.135468939,2859627,88100
     0.145647893,2558339,96581
     0.155825986,2454231,93603
     0.166005965,2390809,87228
     0.176186746,3121398,94941
     0.186355510,2549447,92675
     0.196540304,3613155,134161
     0.206713483,3056872,84210
     0.216888584,2329839,58234
     0.227063541,3399764,61649
     0.237543231,3366058,42333
     0.247797581,5157693,50331
     0.257970268,1777472,46565
     0.268131706,1395736,29296
     0.278322422,1991965,45305
     0.288601925,4185966,200180
     0.299826227,5306069,207419
     0.310115965,4553719,202660
     0.320653444,5070975,225299
     0.330924415,5805345,283938
     0.341230399,7932068,355034
     0.351522212,7911937,348088
     0.361804344,7402798,345121
     0.372091305,7878899,362413
     0.382355780,8136084,364777
     0.392652145,8114653,342853
     0.402937456,7564195,332558
     0.413206473,7883812,327198
     0.423572814,6311245,271958
     0.433842966,6254485,278828
     0.444196416,5922117,225910
     0.454625021,5809105,212118
     0.464913850,5854925,221752
     0.475204019,8264834,273216
     0.485760774,7038217,274426
     0.496053132,8806740,264799
     0.506341156,7142573,325208
     0.516640747,6708858,279990
     0.526991666,8454037,337226
     0.537295503,7344689,284233
     0.547719644,8822978,279707
     0.558001589,7029020,221147
     0.568299682,7906512,357502
     0.578602687,6666067,296562
     0.588905012,6473274,305564
     0.599206409,9317976,296265
     0.609730570,7061891,244678
     0.620005466,9234872,304418
     0.630342110,8370960,245054
     0.640631098,9252789,298351
     0.650894134,6920553,208164
     0.661184789,10569793,288147
     0.671485247,7608785,308111
     0.681754909,8924820,276123
     0.692062839,7835920,303633
     0.702357116,8017519,327837
     0.712634251,8364614,259523
     0.722906681,6931230,192352
     0.733220675,8646802,283295
     0.743514720,6343271,260091
     0.753792753,9093536,318418
     0.764086118,6841021,272021
     0.774369114,8172613,338341
     0.791528026,10967938,333333
     0.802913802,7571218,245000
     0.813335212,5397272,158188
     0.823642716,5631060,195231
     0.835151956,6258167,225268
     0.845719073,7613622,293375
     0.856006506,6779979,243239
     0.866293241,8591728,270619
     0.876587171,6586994,275616
     0.886873005,6494332,253865
     0.897168236,8672958,319643
     0.907470908,5012322,183489
     0.917751519,7260232,239120
     0.928051033,9076767,356051
     0.938351254,4946701,230102
     0.948702768,4816734,208521
     0.959002709,6943158,207876
     0.969401124,7005723,121719
     0.979715030,7812138,95996
     0.989997044,6414411,181135
     1.000621188,7213840,232637
     1.013586850,8543491,201543
     1.023883564,6146745,214181
     1.039512854,9127866,281568
     1.049819619,7345904,241371
     1.069698665,12555595,329706
     1.079982934,3812646,127675
     1.099441564,8794095,272229
     1.113753557,6743544,123169
     1.132220293,8003640,144700
     1.142502187,5792102,179764
     1.152804640,7666220,249942
     1.163092180,5220797,204232
     1.173379565,6604845,178616
     1.183681722,6441254,181354
     1.193966020,6489475,190039
     1.204407362,5736140,231839
     1.214653017,5759081,225221
     1.224947958,5251616,247150
     1.235250923,6872970,212500
     1.245708004,5937601,181974
     1.256069214,6084371,143365
     1.266351775,6590900,203609
     1.276631589,5566599,229099
     1.286900625,5251188,262395
     1.297203571,5540510,228554
     1.307493346,5247895,237901
     1.317783383,5826506,192311
     1.328080950,4504286,138384
     1.338558789,5137284,175228
     1.348788113,5280692,114545
     1.359096772,3112656,176300
     1.369400254,4922227,154801
     1.379706550,5978807,213026
     1.390005027,6862465,186790
     1.400322301,7913637,113542
     1.410619399,7654997,253682
     1.420965929,7017815,195704
     1.431246005,8082126,232675
     1.441686992,7812808,186166
     1.451963796,7399458,125949
     1.462295449,8107150,234408
     1.472587256,6875546,281207
     1.482871087,6768598,256691
     1.493159345,5999739,193849
     1.503449190,5158923,151276
     1.513703619,5246119,234840
     1.523995884,8780655,216201
     1.534297932,7370741,176840
     1.544581510,7793705,238638
     1.554883363,8292674,179511
     1.565399539,8972835,252039
     1.575670266,8434707,249598
     1.585971432,7063087,190380
     1.596276739,7289297,255176
     1.606591270,7474535,211113
     1.616893528,6116254,214194
     1.627189210,5720902,256692
     1.637701373,8345230,291042
     1.647996140,9459474,312628
     1.658289883,6864445,195479
     1.668618124,8903900,299566
     1.678914996,8232560,221253
     1.689240786,6940697,307271
     1.699561610,9156155,241960
     1.709832613,8565882,246454
     1.720127431,8175104,280286
     1.730409425,8517308,250080
     1.740699525,8159891,265097
     1.751131152,9852785,169644
     1.761446836,6811590,248714
     1.771783686,9688388,236285
     1.782070351,7806588,294804
     1.796563061,9050718,326229
     1.808983142,8254097,189028
     1.819168868,8103968,107302
     1.829783942,6837270,188775
     1.840084451,7755233,183785
     1.850362666,6830000,256350
     1.860560677,10255083,180173
     1.870748248,6878626,228595
     1.881304623,8698740,147862
     1.891581635,9968228,256889
     1.901868812,8398301,247745
     1.912153403,7799609,191457
     1.922693955,7970449,247651
     1.932897132,2941171,95256
     1.943078641,3059823,100659
     1.953238522,3886416,128905
     1.963411805,2800041,132913
     1.973564689,<not counted>,<not counted>
     1.983744065,<not counted>,<not counted>
     1.993892750,<not counted>,<not counted>
     2.004066144,<not counted>,<not counted>
     2.014251783,<not counted>,<not counted>
     2.024443603,<not counted>,<not counted>
     2.034672507,<not counted>,<not counted>
     2.044836846,<not counted>,<not counted>
     2.055025203,<not counted>,<not counted>
     2.065188254,57816,7149
     2.075353439,<not counted>,<not counted>
     2.085494418,<not counted>,<not counted>
     2.095695980,<not counted>,<not counted>
     2.106185778,37451,48940
     2.116386948,1167262,98730673399239872
     2.126621291,619494,18785
     2.136854887,<not counted>,<not counted>
     2.147115567,<not counted>,<not counted>
     2.157333984,<not counted>,<not counted>
     2.167541165,<not counted>,<not counted>
     2.177756840,<not counted>,<not counted>
     2.188003979,<not counted>,<not counted>
     2.198213570,<not counted>,<not counted>
     2.208462330,<not counted>,<not counted>
     2.218684209,<not counted>,<not counted>
     2.228945146,<not counted>,<not counted>
