Timestamp,instructions,LLC-load-misses
     0.100117209,306349029,331290
     0.200277515,368340910,260046
     0.300413471,393356622,190133
     0.400604684,252700177,191611
     0.500832543,<not counted>,<not counted>
     0.601081860,115876,1841
     0.701329890,<not counted>,<not counted>
     0.801582015,<not counted>,<not counted>
     0.901771393,8541655,13829
     1.002010716,12083709,20025
     1.102238724,<not counted>,<not counted>
     1.202475604,87494,1861
     1.302717413,<not counted>,<not counted>
     1.402964878,<not counted>,<not counted>
     1.503170863,8368855,14590
     1.603376378,3291681,9179
     1.703561526,442699342,82112
     1.803700538,567253036,105724
     1.903819480,536366776,188860
     2.003969779,538885932,182752
     2.104089210,575133445,293939
     2.204224914,525508408,219590
     2.304359105,558393031,179698
     2.404497004,546861257,247805
     2.504628498,501254620,442137
     2.604762882,454122295,580767
     2.704896292,512573118,405121
     2.805001477,497226466,479545
     2.905132699,391088178,1214056
     3.005267262,341406758,915262
     3.105388790,359646463,200898
     3.205520827,367707782,180923
     3.305644091,356101472,191290
     3.405789856,373797485,174549
     3.505916893,374455375,198542
     3.606052874,456175742,79487
     3.706217282,350433707,162887
     3.806432705,381088103,307278
     3.906554105,461807668,142309
     4.006683314,482957904,70454
     4.106805593,474784247,64996
     4.206932209,442630417,55912
     4.307056492,421570343,67155
     4.407192457,471263890,87362
     4.507320838,458534179,59245
     4.607447349,462790730,69086
     4.707564139,455422546,88858
     4.807723717,421055521,159797
     4.907868831,407053857,162901
     5.008002398,418735507,147368
     5.108180332,431786682,166837
     5.208303976,446947491,148238
     5.308434352,441001222,144362
     5.408556429,411068069,170340
     5.508679261,422261592,164221
     5.608802523,471194405,59267
     5.708930070,442490838,90768
     5.809091452,435633954,127524
     5.909217257,461623894,118319
     6.009339397,422243656,162260
     6.109461952,463435653,88611
     6.209582110,442301687,118866
     6.309708598,439238113,97955
     6.409830056,421675346,146295
     6.509960992,432766325,152670
     6.610079532,463614960,121455
     6.710195251,448772894,109837
     6.810339499,469141863,75920
     6.910464900,438328741,80195
     7.010589232,452632317,87915
     7.110710917,455616642,145883
     7.210834844,423815376,153881
     7.310957988,457483065,115400
     7.411081009,448067772,121424
     7.511206938,426536236,141441
     7.611329837,422472648,156601
     7.711450271,423431443,142241
     7.811580507,449923503,144023
     7.911702706,442520372,150574
     8.011828122,467599681,121216
     8.111969965,352312053,353527
     8.212095498,364651055,594549
     8.312217911,431907615,163522
     8.412343992,352375420,220485
     8.512489688,373098030,194922
     8.612633141,323669269,1510054
     8.712784696,91649766,3904367
     8.771121921,79776497,2728121
