Timestamp,instructions,L1-dcache-load-misses
     0.100117443,147599742,1499029
     0.200307773,182011459,2120753
     0.300647157,298236934,5137715
     0.400816558,326239524,5383699
     0.500989497,346229924,4845570
     0.601162673,306385781,4576481
     0.701345617,381432665,5367720
     0.801948707,338581479,5209684
     0.902596568,396979952,4422475
     1.002792637,246460862,2773839
     1.103034510,60080,2039
     1.203285385,352432,11424
     1.303479656,60521,2136
     1.403668036,60114,2031
     1.504059622,17838757,202211
     1.604271835,60446,2119
     1.704429311,12232143,169375
     1.804593725,12163991,262333
     1.904826626,<not counted>,<not counted>
     2.005069467,149191,5060
     2.105302422,8764057,91113
     2.205470957,12145771,141024
     2.305706539,261445698,1372666
     2.405907954,306076217,3096963
     2.506119511,486353573,3068771
     2.606303148,414619644,3269087
     2.706486314,518890114,2368290
     2.806672945,496343452,2372824
     2.906846075,524544151,2088932
     3.007017740,511103344,2241328
     3.107194613,445587745,2459832
     3.207371573,514124001,2162688
     3.307565521,494930483,2227255
     3.408094740,472545004,2651515
     3.508275887,524375187,2169240
     3.608452000,401958558,2891472
     3.708674592,475242444,2272688
     3.808850201,388637745,3031206
     3.909029338,529434383,2222094
     4.009220152,460447617,2836317
     4.109405185,522109335,2274102
     4.209577474,521385139,2306228
     4.309750789,508733044,2926803
     4.409922855,480908800,2450828
     4.510096458,457661501,2870209
     4.610278861,408656167,2606237
     4.710424173,437537528,2627174
     4.810600187,398764758,4407360
     4.910785977,329414459,4443130
     5.010977154,274170754,3660630
     5.111165256,204471246,3429737
     5.211343820,229463986,3157409
     5.311529509,243378138,3215004
     5.411754248,219831459,3833295
     5.511939505,139302226,4407530
     5.612116375,127916050,4179034
     5.712295330,76858969,5101220
     5.812472059,167297370,5549653
     5.912658124,294576552,5968774
     6.012833821,369797142,5398868
     6.113016016,462974275,3990021
     6.213194446,429767362,3811430
     6.313378805,441949114,3846942
     6.413565672,430301797,3651677
     6.513771406,459368864,3874528
     6.613960151,403776409,3846968
     6.714143890,463900287,3949943
     6.814323955,450633724,4132004
     6.914520481,447828470,3940401
     7.014700936,442288721,3658741
     7.114883816,448741741,3738723
     7.215071231,436151417,3865917
     7.315257126,421654433,3867617
     7.415447175,456171539,3961398
     7.515634810,456194190,4059682
     7.615848379,425800124,3970272
     7.716038676,458387352,3603200
     7.816234744,457161235,3744429
     7.916415584,460743364,4067217
     8.016597901,435184384,3899575
     8.116774787,448648247,4107280
     8.216944691,429441749,3871886
     8.317125190,427315347,3999498
     8.417310335,466988666,3579482
     8.517492840,436541930,4057603
     8.617670844,472723006,3898605
     8.717856601,434817697,3945789
     8.818038094,443653686,4100701
     8.918218444,478997313,3644794
     9.018417291,436278967,4085150
     9.118850500,462643889,3599279
     9.219042487,430410097,4185142
     9.319216939,452072475,3887330
     9.419393394,417731393,3740553
     9.519579511,445188243,4114002
     9.620041390,467649486,3627016
     9.720243993,440670944,3951136
     9.820423318,463415859,3698952
     9.920597897,436009479,4168590
    10.020792892,453555748,4081425
    10.120971463,447514694,3462920
    10.221160745,441551301,4323821
    10.321340018,463511383,3666067
    10.421525997,407332711,4106535
    10.521703291,472823924,3766775
    10.621880386,435293440,3896655
    10.722061739,449090400,4144271
    10.822241545,457560262,3474647
    10.922422965,432081885,4581322
    11.022606107,473710210,3510922
    11.122800786,300129284,3817176
    11.222982638,481848974,3501060
    11.323168983,426100362,3961192
