Timestamp,instructions,L1-dcache-load-misses
     0.100119710,146395662,1523860
     0.200471946,179775301,2097965
     0.300647697,302421391,5198552
     0.400820245,317831095,5283333
     0.501196338,334922153,4856669
     0.601374369,355434330,4721774
     0.701546789,386515197,5513566
     0.801724351,338764984,5129212
     0.901915230,402609669,4445606
     1.002069061,205376358,2132705
     1.102242849,174779,5798
     1.202444813,235002,8071
     1.302692584,63719,2259
     1.402927314,17831924,180219
     1.503157500,60032,2223
     1.603337485,12870281,152056
     1.703520156,145565,7983
     1.803878721,64800,2360
     1.904071214,3676523,58331
     2.004292011,13946397,199502
     2.104525570,591724,15579
     2.204712675,94786113,455508
     2.304864420,251854434,1356341
     2.405057828,200813673,2194300
     2.505236935,247881202,1687307
     2.605401459,256937255,1621094
     2.705565221,462138179,2506818
     2.809295487,423051995,3697747
     2.909467058,387172316,3351819
     3.009651994,426317307,3094284
     3.109835463,506227434,2791434
     3.210010948,517566462,2612190
     3.310188471,524671222,2694428
     3.410385039,442228848,3468371
     3.510559753,519137885,2591029
     3.610732312,495839977,2765513
     3.710896892,531126254,2629645
     3.811070197,474088654,3076116
     3.911242427,504421966,2735757
     4.011409656,499406425,2826228
     4.111578198,525754317,2735589
     4.211753189,475613436,3232834
     4.312766605,517513485,2886869
     4.412941737,473862710,2458207
     4.513114061,475737743,2395571
     4.613294415,468194630,2530397
     4.713476932,482027529,3055835
     4.813641618,375291765,4011284
     4.913817145,360911636,2498110
     5.013988261,365871745,2676268
     5.114208284,354341381,2721410
     5.214385178,278452884,5460134
     5.314562295,241905093,3189014
     5.414747867,207366296,3625418
     5.514918866,145417431,3603761
     5.615096713,205378948,3246336
     5.715286048,141145350,4472172
     5.815450190,201078728,4985384
     5.915620053,166167485,4146103
     6.015788706,268351958,4371827
     6.115967586,216181364,5603879
     6.216149070,421082920,4121430
     6.316600176,402155549,5893793
     6.416772547,398649367,4076054
     6.516969842,469042269,3836455
     6.617151164,412275806,3567346
     6.717329867,440387086,4248757
     6.817510108,477690408,3498434
     6.917696109,416944919,4055875
     7.017865938,453143001,3725632
     7.118336773,420551173,3873688
     7.218517896,446674001,4071544
     7.318698039,446250542,3678790
     7.418880196,449121759,4087387
     7.519066024,457054963,3859889
     7.619620474,434383146,3694776
     7.719748327,440778835,3958085
     7.819921798,460033950,3841496
     7.920182536,408431728,4116809
     8.020601379,457322543,3735831
     8.120773218,452584984,3800216
     8.220955686,419666638,4358916
     8.321137718,464844084,3519316
     8.421321674,412104910,4513200
     8.521505970,475308552,3506667
     8.621687988,415894360,4125021
     8.721873004,475936663,3852272
     8.822053272,416841868,3637240
     8.922236645,449345943,4248246
     9.022756077,472152924,3448579
     9.122940324,406250044,4568968
     9.223128620,479283587,3379638
     9.324027367,418948181,3868438
     9.424203745,446140720,4049191
     9.524589131,426200414,3798926
     9.624766858,444238559,4100509
     9.724967658,459454885,3334339
     9.825160076,421768572,4221454
     9.925330627,472474541,3478532
    10.025978793,411084070,3813403
    10.126575188,424630491,4075032
    10.226757556,426539905,3902973
    10.326968825,437057695,3952678
    10.427147241,439758464,3747389
    10.528145469,466131928,3762885
    10.628556929,442752208,4143924
    10.728748232,461108885,3597117
    10.828934056,432099654,4191470
    10.929123465,468870637,3810585
    11.029668371,430453559,3646826
    11.129845164,456018307,4227972
    11.230075605,464108583,3666046
    11.330261120,405064217,4419595
    11.430448732,474989410,3364665
    11.530656891,317665297,5896564
    11.630842047,141451915,9005485
    11.732054501,148887645,10361628
    11.832230228,124744994,5342395
    11.927897479,5023593,118839
