Timestamp,branches,branch-misses
     1.000180003,278154443,7817667
     2.000460661,1748313,45633
     3.000721884,4017439,138813
     4.000905160,527748473,3253973
     5.001087255,538607998,2088228
     6.001258731,344304490,2963178
     7.001437800,386949248,4428765
     8.001623812,555284039,4725162
     9.001811990,558034231,4682174
    10.001997651,527917819,4552721
    11.002159411,521968648,4594707
    12.002327895,539440311,4558275
    13.002502229,538770147,4505631
    14.002677884,525691104,4634385
    15.002857529,551859351,4752074
    16.003029603,550699302,4636348
    17.003201056,547224238,4738371
    18.003356827,552647004,4688516
    19.003526547,551701860,4700391
    20.003689656,544142078,4692526
    21.004148543,557845963,4735634
    22.004305153,557095463,4691124
    23.004460482,541272765,4633087
    24.004646541,549805080,4658586
    25.004829819,552179143,4636623
    26.005018990,543944139,4668566
    27.005204473,552342302,4615387
    28.005381644,541704512,4707267
    29.005557604,547023181,4679258
    30.005733543,540690179,4712257
    31.005932636,561905305,4697940
    32.006119685,543760089,4716810
    33.006298595,553755809,4687407
    34.006478230,558104288,4677796
    35.006655319,544365925,4661913
    36.006839723,541767435,4732500
    37.007036981,540026121,4549716
    38.007218582,544736585,4509670
    39.007392326,553844986,4657628
    40.007565575,537011332,4555440
    41.007734515,539066342,4673501
    42.007927124,548623053,4651036
    43.008118392,549539426,4718485
    44.008286129,534520856,4641817
    45.008458540,557839899,4719565
    46.008624282,548448121,4658298
    47.008817835,558129454,4721899
    48.008988898,552418759,4723727
    49.009167252,559887416,4635421
    50.009342449,549049192,4693091
    51.009516023,554352680,4709587
    52.009689217,531640783,4646146
    53.009866725,551348659,4724381
    54.010041994,540353363,4729175
    55.010219404,555033148,4666883
    56.010381579,552916100,4629450
    57.010554749,549145102,4693541
    58.010726814,551351139,4609730
    59.010897626,554311992,4708033
    60.011071028,547574532,4682919
    61.011254775,540449440,4694678
    62.011451186,551365017,4656858
    63.011629266,542223714,4709698
    64.011807026,549589991,4678501
    65.011986466,547530412,4657460
    66.012149772,543757553,4639731
    67.012334103,549813440,4632832
    68.012510949,546545459,4611214
    69.012674193,550929258,4672257
    70.012853237,556779858,4771643
    71.013028285,546403635,4591276
    72.013200014,539770807,4703857
    73.013378795,549623613,4613015
    74.013556889,549305866,4684419
    75.013739489,532400240,4741477
    76.013915782,548290301,4723074
    77.014102946,521235281,4568685
    78.014290119,549230168,4675912
    79.014465618,552148097,4699834
    80.014637630,545927365,4645875
    81.014815649,549923863,4674311
    82.014983394,558399754,4687565
    83.015163022,556372584,4699449
    84.015345555,547026417,4672880
    85.015521038,560072902,4645839
    86.015692887,543135008,4728194
    87.015878140,543524156,4681863
    88.016070738,554612673,4757733
    89.016235408,546673056,4646795
    90.016425147,551839645,4773614
    91.016599452,553123386,4760413
    92.016784662,561965173,4736083
    93.016947470,541426943,4589707
    94.017134160,555007203,4697647
    95.017315769,564678890,4659804
    96.017518872,533466923,4635849
    97.017693657,550243435,4640483
    98.017863092,543060585,5270604
    99.018033620,545026436,4743508
   100.018205446,547171491,4666073
   101.018385754,553283945,4734542
   102.018563410,547037721,4671143
   103.018734607,554930947,4737511
   104.018903698,535984656,4693456
   105.019049246,543802873,4588442
   106.019192515,560039110,4701211
   107.019377282,553466372,4736896
   108.019555452,547604816,4699035
   109.019731383,559067300,4676498
   110.019927069,548408360,4808438
   111.020116273,557745530,4694709
   112.020287528,548153583,4683022
   113.020472192,558709048,4650022
   114.020645500,538596570,4708999
   115.020819354,539241635,4589733
   116.021097710,556833598,4650829
   117.021271190,546678891,4682594
   118.021441314,550263798,4658476
   119.021620320,550955799,4596677
   120.021794136,556111328,4719774
   121.021969801,547806401,4624074
   122.022147980,523715145,4679198
   123.022350892,559351019,4630242
   124.022513753,550035651,4719526
   125.022698090,553062161,4734183
   126.022880000,557222401,4733149
   127.023055690,550311967,4720279
   128.023211763,554183795,4701921
   129.023387646,557050492,4712723
   130.023566073,524568645,4678020
   131.023790921,537219976,4418077
   132.023981320,541315178,4591691
   133.024152795,538794375,4637398
   134.024312798,510216565,4737526
   135.024482604,548971670,4718458
   136.024660259,545325963,4642367
   137.024849809,542439399,4733487
   138.025017126,550204439,4786759
   139.025170990,549793293,4665962
   140.025356198,551559366,4670609
   141.025540923,555182189,4705540
   142.025736973,553458545,4700648
   143.025925733,560947979,4630637
   144.026108919,553674949,4750485
   145.026298884,545831573,4763101
   146.026476796,561902271,4757079
   147.026656075,549210379,4727154
   148.026839270,559733764,4764672
   149.027029522,555710850,4762865
   150.027215675,555570040,4809754
   151.027400961,560249584,4668273
   152.027603311,540939362,4602647
   153.027775566,533315277,4599374
   154.027961444,558519674,4657218
   155.028143981,557886467,4718332
   156.028334649,537742876,4620986
   157.028508009,542396992,4784539
   158.028681595,557515345,4822586
   159.028854173,539353276,4572448
   160.029035407,558500925,4807471
   161.029210734,549956268,4755313
   162.029372620,550414249,4698601
   163.029534137,541204797,4589521
   164.029706140,525505455,4391553
   165.029874343,556669299,4651605
   166.030057724,556897413,4704087
   167.030228906,550499680,4635613
   168.030402622,536574426,4679052
   169.030575666,544518992,4706215
   170.030748852,561442087,4676860
   171.030920698,555281359,4680569
   172.031106272,556005805,4721205
   173.031305583,552051541,4732690
   174.031482192,548471219,4631375
   175.031659869,548684771,4677946
   176.031826578,562169411,4744384
   177.032028128,552101221,4679346
   178.032202889,506262498,6152579
   178.171305337,34219768,1421954
