Timestamp,instructions,LLC-load-misses
     0.100145775,145837342,59435
     0.200660862,167452433,235652
     0.300833089,324743711,856286
     0.401103270,383634863,936557
     0.502247325,399046970,1018920
     0.602787630,431290549,547737
     0.703082270,401211900,905321
     0.803372506,390978875,871797
     0.903798005,417580668,602395
     1.005670985,439353938,460592
     1.107279307,372986003,318592
     1.208782997,402178102,671805
     1.310174667,444951924,646118
     1.424795600,520931947,936124
     1.525138978,345348733,539988
     1.625392710,73917614,77776
     1.725663065,559760,7436
     1.825931967,60803,1229
     1.926125462,16707501,37474
     2.026280372,18026268,36726
     2.126537486,12076607,32426
     2.226742115,62119,1127
     2.326962213,3702273,13727
     2.427140137,6648835,25479
     2.527354302,26408590,57881
     2.627514432,8639333,24805
     2.727745526,172866,3430
     2.828010063,62313,1252
     2.928291711,8828171,16700
     3.028869569,26679741,65304
     3.129058549,267586845,72608
     3.229441265,458708557,440752
     3.329761646,496375566,352461
     3.429938985,517769082,391944
     3.530145505,528309638,586738
     3.630327711,555761916,424271
     3.731852346,556989536,364045
     3.833445038,516664493,340355
     3.933751407,513762168,571893
     4.034301525,500751390,570144
     4.136178107,547039303,468764
     4.237320890,531312495,479256
     4.338288125,523724378,447043
     4.439638721,508769795,488680
     4.539942574,524202556,604159
     4.640236235,534720039,461956
     4.741659593,539703908,464194
     4.841953631,524552290,481991
     4.942235274,513242704,756061
     5.043725778,509560845,433608
     5.144014224,523899459,477098
     5.244292330,525908936,498707
     5.345893789,501390692,795558
     5.446193934,535160385,467161
     5.546472267,532247524,493871
     5.646822480,486762940,503403
     5.748462176,526944588,572763
     5.850020397,540241118,628061
     5.951588508,525506537,510901
     6.051877127,506828706,487356
     6.152162599,529984092,461229
     6.253556336,511763287,462906
     6.355110603,527573283,508006
     6.456737191,520474722,521088
     6.557030042,537096811,469007
     6.657324032,541970624,627983
     6.757943947,536608907,700280
     6.859331339,518059518,658792
     6.961153075,559866876,1018810
     7.062565155,524520734,1090055
     7.162863113,486016669,1109974
     7.264605228,518713267,1257215
     7.364957322,502175703,1017105
     7.465238488,480571027,1333542
     7.566896529,507151810,1948987
     7.668510024,429810075,4099533
     7.768805851,447993709,2245033
     7.871429403,350228060,3139664
     7.971808612,402138895,2354836
     8.072093810,350667221,2031534
     8.173185297,325040943,2789679
     8.274151316,337139815,3930543
     8.375194583,320759076,2692146
     8.476498879,312202519,3229142
     8.576777989,305008273,3423261
     8.677056764,218260970,3543279
     8.777416653,205070911,4031718
     8.878965191,251500282,4783277
     8.980160847,145609236,5559970
     9.081016479,344812305,2446844
     9.182361812,311184730,3634119
     9.283793407,296936365,3920596
     9.384086906,390393919,1340148
     9.485514752,457600521,2542494
     9.585921539,398129875,2672686
     9.686222193,405131148,1001743
     9.787354866,512120301,438782
     9.888617849,485047458,2205439
     9.988940896,455162434,230435
    10.090488003,408751061,548262
    10.190880869,522652027,396780
    10.291184062,475752678,273066
    10.392680286,438197666,424393
    10.492985901,525712222,470347
    10.593286045,510979962,263789
    10.694496669,454305540,379492
    10.794806024,515923142,506639
    10.895094879,505944940,307600
    10.995488872,437832320,374095
    11.097119549,470003875,549187
    11.197478597,451759662,414037
    11.298976475,438284058,1510546
    11.399370264,361384014,2597295
    11.500926761,373214148,4419686
    11.602748025,366671108,5001750
    11.703138904,272076109,3802754
    11.804063835,264051016,4754788
    11.904244262,319822186,2666374
    12.008996181,219065136,1955892
    12.110044011,272142761,2858981
    12.210354797,342049158,3295462
    12.311903682,339750753,3784358
    12.412298930,394347741,673451
    12.513301076,374817568,687868
    12.614406354,335056838,745443
    12.714720987,449812257,618263
    12.816234167,385932607,499112
    12.917358861,401897123,512251
    13.018194488,418167828,716722
    13.119646708,435290518,832733
    13.221027731,445629276,735554
    13.321311901,394769501,425452
    13.421472829,186284047,179339
    13.521627139,207251642,164179
    13.621873647,51621912,46646
    13.722158339,17984829,37496
    13.822396627,9024132,17298
    13.922634299,15903419,44166
    14.022834232,9061735,20152
    14.123115254,12191647,33133
    14.223359424,1027800,8424
    14.323623227,16216823,32941
    14.423792930,3679798,13235
    14.523962404,8483052,8380
    14.624357763,8433581,19856
    14.724591391,8840413,18678
    14.824826550,6938627,20413
    14.925017729,306912587,131925
    15.025210885,437395075,160487
    15.125407366,465648980,400291
    15.225608038,557387003,386971
    15.325811581,527611129,344247
    15.426238161,514285445,445585
    15.526418951,522722744,512668
    15.626695877,517781936,410849
    15.727027916,541684083,464583
    15.827316447,527384379,410232
    15.928270006,536437183,447214
    16.029882441,536294439,562499
    16.131472728,522732359,513623
    16.231765054,493886731,502046
    16.332028501,513396079,497480
    16.433883709,532447656,548698
    16.535018932,530649483,547896
    16.636804912,546088016,469683
    16.738422078,534603316,489348
    16.838722410,511332302,477618
    16.939018872,519964845,679584
    17.039369037,527840773,528566
    17.140898939,534954048,482483
    17.242367071,527540823,708643
    17.343614458,518672424,696360
    17.444974616,508941406,454556
    17.546039302,537046492,498354
    17.646337388,516278382,522719
    17.747966525,535881114,515220
    17.850898482,538741349,500837
    17.952636362,512083701,508471
    18.054017871,493279258,455238
    18.155324631,529898986,458891
    18.255999274,539259090,474414
    18.357629059,537482074,492783
    18.459244699,542418850,508192
    18.559552831,557353001,667352
    18.661232821,512716947,698516
    18.762813428,551940447,933203
    18.863099497,529597505,950382
    18.964691777,525052846,1244482
    19.066017607,522108502,1266935
    19.167547609,505255388,1426272
    19.267823636,494995797,1314242
    19.369439336,466316062,3168262
