# started on Sun Mar 11 04:29:02 2018

     4.608691836,476490841,,instructions,31240368,100.00,6.47,insn per cycle
     4.608691836,236600374,,cycles,31240467,100.00,,,,
     4.708801168,480693714,,instructions,32705345,100.00,6.21,insn per cycle
     4.708801168,249172152,,cycles,32705444,100.00,,,,
     4.808905915,380408906,,instructions,34108951,100.00,4.72,insn per cycle
     4.808905915,232477630,,cycles,34109060,100.00,,,,
     4.909024920,382479655,,instructions,35455583,100.00,4.55,insn per cycle
     4.909024920,249527207,,cycles,35455695,100.00,,,,
     5.009147935,305423977,,instructions,36748664,100.00,3.49,insn per cycle
     5.009147935,251892560,,cycles,36748767,100.00,,,,
     5.109274570,201272159,,instructions,37990559,100.00,2.22,insn per cycle
     5.109274570,248120378,,cycles,37990670,100.00,,,,
     5.209404000,179784149,,instructions,39185477,100.00,1.92,insn per cycle
     5.209404000,256994231,,cycles,39185569,100.00,,,,
     5.309530393,195130517,,instructions,40335203,100.00,2.01,insn per cycle
     5.309530393,255171782,,cycles,40335310,100.00,,,,
     5.409654935,106436219,,instructions,41442328,100.00,1.07,insn per cycle
     5.409654935,256324690,,cycles,41442439,100.00,,,,
     5.509801149,76715802,,instructions,42509582,100.00,0.75,insn per cycle
     5.509801149,225693574,,cycles,42509700,100.00,,,,
     5.609942349,147001977,,instructions,43536142,100.00,1.40,insn per cycle
     5.609942349,244841377,,cycles,43536240,100.00,,,,
     5.710064365,357709145,,instructions,44525157,100.00,3.35,insn per cycle
     5.710064365,233503634,,cycles,44525250,100.00,,,,
     5.810194959,474206183,,instructions,45478996,100.00,4.33,insn per cycle
     5.810194959,257673580,,cycles,45479097,100.00,,,,
     5.910321204,489416601,,instructions,46405154,100.00,4.37,insn per cycle
     5.910321204,253105879,,cycles,46405250,100.00,,,,
     6.010451266,490777146,,instructions,47300502,100.00,4.29,insn per cycle
     6.010451266,259277661,,cycles,47300598,100.00,,,,
     6.110582422,455407270,,instructions,48166336,100.00,3.90,insn per cycle
     6.110582422,254914149,,cycles,48166429,100.00,,,,
