# started on Sun Mar 11 04:05:44 2018

     0.100130087,150038703,,instructions,99448512,100.00,,,,
     0.100130087,1875812,,l2_rqsts_miss,99460705,100.00,,,,
     0.201425296,160679741,,instructions,100627244,96.10,,,,
     0.201425296,2250068,,l2_rqsts_miss,97992357,92.41,,,,
     0.301613912,361175986,,instructions,187718703,94.65,,,,
     0.301613912,8156316,,l2_rqsts_miss,178876679,89.78,,,,
     0.403268986,402965042,,instructions,234146858,94.24,,,,
     0.403268986,7176179,,l2_rqsts_miss,219939689,88.29,,,,
     0.503647739,372860269,,instructions,256869291,94.36,,,,
     0.503647739,7333615,,l2_rqsts_miss,243448666,89.25,,,,
     0.605272417,426523573,,instructions,274891357,93.69,,,,
     0.605272417,6774460,,l2_rqsts_miss,260781902,88.75,,,,
     0.706729280,402924702,,instructions,290188030,94.14,,,,
     0.706729280,6490306,,l2_rqsts_miss,274519187,88.95,,,,
     0.807618354,410878669,,instructions,300285689,94.22,,,,
     0.807618354,6865969,,l2_rqsts_miss,283634603,88.89,,,,
     0.909198038,458523136,,instructions,308489526,94.22,,,,
     0.909198038,5987621,,l2_rqsts_miss,292047343,89.11,,,,
     1.010878321,428506003,,instructions,313279589,93.67,,,,
     1.010878321,7271198,,l2_rqsts_miss,297725173,88.94,,,,
     1.111264163,364254449,,instructions,316849667,93.87,,,,
     1.111264163,7405105,,l2_rqsts_miss,301279650,89.19,,,,
     1.212857896,372463746,,instructions,318968700,94.30,,,,
     1.212857896,6232274,,l2_rqsts_miss,304405739,89.93,,,,
     1.313232336,393829071,,instructions,320577351,94.49,,,,
     1.313232336,5857707,,l2_rqsts_miss,305603424,90.02,,,,
     1.413518244,455821130,,instructions,322982039,94.25,,,,
     1.413518244,5257087,,l2_rqsts_miss,307606824,89.71,,,,
     1.513889704,298622540,,instructions,314213695,94.09,,,,
     1.513889704,3502859,,l2_rqsts_miss,299327970,89.58,,,,
     1.614059953,166723351,,instructions,299833192,94.19,,,,
     1.614059953,1425171,,l2_rqsts_miss,285877264,89.75,,,,
     1.714271265,174671,,instructions,282228403,94.19,,,,
     1.714271265,14435,,l2_rqsts_miss,269093412,89.76,,,,
     1.814525504,178354,,instructions,266581445,94.19,,,,
     1.814525504,15199,,l2_rqsts_miss,254176176,89.76,,,,
     1.914793464,26809444,,instructions,253811147,94.22,,,,
     1.914793464,313037,,l2_rqsts_miss,242058787,89.80,,,,
     2.014974660,13174698,,instructions,241689106,94.18,,,,
     2.014974660,173668,,l2_rqsts_miss,230135395,89.63,,,,
     2.115216694,32987247,,instructions,231520129,94.21,,,,
     2.115216694,511704,,l2_rqsts_miss,220516595,89.68,,,,
