# started on Sun Mar 11 04:07:20 2018

     0.010128537,9460595,,instructions,9130498,100.00,,,,
     0.010128537,241686,,L1-dcache-load-misses,9138039,100.00,,,,
     0.020319756,11476511,,instructions,9660317,100.00,,,,
     0.020319756,218919,,L1-dcache-load-misses,9664203,100.00,,,,
     0.030502399,9995119,,instructions,9834575,100.00,,,,
     0.030502399,264541,,L1-dcache-load-misses,9837028,100.00,,,,
     0.040668589,13076489,,instructions,9907954,100.00,,,,
     0.040668589,293392,,L1-dcache-load-misses,9909769,100.00,,,,
     0.050828753,15365248,,instructions,9958149,100.00,,,,
     0.050828753,288556,,L1-dcache-load-misses,9959660,100.00,,,,
     0.061000416,15715953,,instructions,9993857,100.00,,,,
     0.061000416,268599,,L1-dcache-load-misses,9995040,100.00,,,,
     0.071148998,18174351,,instructions,10015560,100.00,,,,
     0.071148998,275939,,L1-dcache-load-misses,10016799,100.00,,,,
     0.081312239,16170581,,instructions,10034274,100.00,,,,
     0.081312239,309471,,L1-dcache-load-misses,10035139,100.00,,,,
     0.091472721,16440039,,instructions,10048169,100.00,,,,
     0.091472721,260319,,L1-dcache-load-misses,10049004,100.00,,,,
     0.101636846,16042380,,instructions,10059769,100.00,,,,
     0.101636846,212722,,L1-dcache-load-misses,10060483,100.00,,,,
     0.111795471,18111362,,instructions,10068758,100.00,,,,
     0.111795471,264934,,L1-dcache-load-misses,10069374,100.00,,,,
     0.121954728,18925171,,instructions,10076238,100.00,,,,
     0.121954728,247251,,L1-dcache-load-misses,10076832,100.00,,,,
     0.132114494,16295877,,instructions,10082606,100.00,,,,
     0.132114494,286485,,L1-dcache-load-misses,10083178,100.00,,,,
     0.142279126,17438766,,instructions,10088461,100.00,,,,
     0.142279126,282795,,L1-dcache-load-misses,10088958,100.00,,,,
     0.152446893,18477831,,instructions,10093692,100.00,,,,
     0.152446893,253396,,L1-dcache-load-misses,10094171,100.00,,,,
     0.162618409,14754746,,instructions,10098535,100.00,,,,
     0.162618409,279864,,L1-dcache-load-misses,10098986,100.00,,,,
     0.172787909,14923743,,instructions,10102687,100.00,,,,
     0.172787909,306079,,L1-dcache-load-misses,10103106,100.00,,,,
     0.182944226,19710205,,instructions,10105618,100.00,,,,
     0.182944226,364075,,L1-dcache-load-misses,10106040,100.00,,,,
     0.193115392,17030967,,instructions,10109064,100.00,,,,
     0.193115392,273245,,L1-dcache-load-misses,10109416,100.00,,,,
     0.203261476,23533001,,instructions,10110840,100.00,,,,
     0.203261476,261464,,L1-dcache-load-misses,10111247,100.00,,,,
     0.213423821,24716305,,instructions,10113364,100.00,,,,
     0.213423821,285387,,L1-dcache-load-misses,10113690,100.00,,,,
     0.223583408,15199465,,instructions,10115388,100.00,,,,
     0.223583408,234626,,L1-dcache-load-misses,10115744,100.00,,,,
     0.233754653,15719041,,instructions,10117792,100.00,,,,
     0.233754653,247483,,L1-dcache-load-misses,10118135,100.00,,,,
     0.243924593,16918028,,instructions,10119950,100.00,,,,
     0.243924593,276438,,L1-dcache-load-misses,10120269,100.00,,,,
     0.254075800,14177261,,instructions,10147702,100.00,,,,
     0.254075800,224728,,L1-dcache-load-misses,10147996,100.00,,,,
     0.264235202,15232724,,instructions,10148084,100.00,,,,
     0.264235202,272331,,L1-dcache-load-misses,10148410,100.00,,,,
     0.274412420,19433078,,instructions,10149227,100.00,,,,
     0.274412420,260528,,L1-dcache-load-misses,10149475,100.00,,,,
     0.284567861,22239223,,instructions,10148806,100.00,,,,
     0.284567861,245677,,L1-dcache-load-misses,10149035,100.00,,,,
     0.294697935,21679043,,instructions,10166175,100.00,,,,
     0.294697935,204080,,L1-dcache-load-misses,10166402,100.00,,,,
     0.304863241,15437235,,instructions,10165345,100.00,,,,
     0.304863241,225199,,L1-dcache-load-misses,10165593,100.00,,,,
     0.315022077,14607090,,instructions,10165133,100.00,,,,
     0.315022077,277616,,L1-dcache-load-misses,10165364,100.00,,,,
